"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"investigator_index__inv_id"
"RES-143-25-0026"	"Manufacturing Meaning Along the Food Commodity Chain"	"http://researchcatalogue.esrc.ac.uk//grants/RES-143-25-0026/read"	"2003"	"2007"	"Adopting a 'commodity chain' approach to food provision and consumption, this project takes a person- and product-centred perspective on the cultural meanings and political-economy of food.  Case study firms with commodity chains of varying length have been selected, including those whose supply networks and customer base range from the local and regional through to the national and transnational.  Life-history interviews will be conducted with those involved in the production and marketing of selected commodities (chicken and sugar) at different points along the chain.  While the life-histories are designed to 'humanise' our understanding of the food commodity chain, archival and documentary research, supplemented by policy-focused interviews, will be used to explore the extent to which institutions and agencies shape contemporary discourses and practices of food consumption.  Finally, focus groups will be undertaken with a wide range of consumers to explore the discourses and practices that inform contemporary food choice.  The research seeks to address questions of geographical provenance, ideas of scale (local, regional, national and transnational), issues of 'authenticity' and questions of regulation, governance and control.  In this way, we aim to bring socio-cultural and political-economic perspectives closer together, with the ultimate aim of increasing the 'transparency' of food chains and informing consumer choice. "	"81"	"Jackson, Peter"	"-1"
"RES-000-22-1745"	"Individual differences and food-cue reactivity: Predictors of BMI, portion size, and everyday dietary behaviour."	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-1745/read"	"2006"	"2007"	"Obesity and overweight is an increasing concern for health professionals in the UK. Clearly this trend can be attributed to a range of factors. However, in relation to diet, the underlying problem is not straightforward. We know that weight gain occurs when an individual consumes food in excess of need. But are some people predisposed to engage in this behaviour? And, can this tendency be attributed to a particular kind of responsiveness to food? In the UK people are exposed to the sight and smell of food, often many times a day. This is important, because several studies indicate that people consume more food when a meal is preceded by exposure of this kind. Recent evidence suggests that this phenomenon should not be regarded as a simple laboratory-based curiosity. This is because individuals appear to vary in their sensitivity to this 'food-cue exposure.' And, importantly, this variability appears to be associated with measures of everyday dietary behaviour that predict BMI (Body Mass Index). On this basis, it follows that individuals who are especially sensitivity to the effects of food-cue exposure might also be at risk of overweight and obesity. This research will test this proposition. "	"81"	"Brunstrom, Jeffrey"	"-1"
"RES-000-23-1134"	"Food Allergies: Constructing a Sociological Agenda"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-23-1134/read"	"2005"	"2008"	"With experts estimating that half of the European population may have some form of allergy by 2015, it is clear that allergies are becoming a salient feature of contemporary life. There is a growing body of research which is exploring the medical, genetic and environmental causes of allergies. However, as yet there is a relative dearth of studies which have explored the social implications and consequences of this rise in allergies. The focus of this research is on food allergies and food intolerance. Food is deeply interwoven into the economic, political and cultural fabric of contemporary life. Yet, we know very little about how lay and professional people define or explain food allergies and intolerance, how people live with them, or how those who cater for people's food and health needs in a variety of institutional settings manage this growing problem. This project will explore these issues and in so doing develop a sociological understanding of how food allergies are defined, negotiated and managed. "	"81"	"Woods, Brian"	"-1"
"ES.J017841.1"	"Energy Scarcity, Food Supply Chain Transformation, and Poverty Reduction in the Emerging Economies: the Case of Brazil, China, and India"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J017841.1/read"	"2012"	"2015"	"The proposed project aims to improve our understanding of the links among energy costs and use, the transformation of food supply chains and technologies, and poverty alleviation in Brazil, China, and India. The project has three specific objectives: An integrated conceptual framework will be developed for modeling the relations among these three interrelated factors, transformed/modernised versus traditional food supply chains; energy costs from electricity and fuel; and net incomes of supply chain participants and food prices. The framework will be applied to analyse horticulture and dairy supply chains in China, India, and Brazil, to assess how energy costs are generated and affect behavior in various segments of the supply chain, and what the implications of these are for food costs to consumers and incomes to producers.  Policy pathways will be formulated for moving towards more optimal energy use practices in food supply chains.  The project is expected to add significant value to the debate centering on the linkage between resource use, food security, and market transformation in the developing BRICS, with strong lessons for other developing countries."	"81"	"Chen, Kevin"	"-1"
"ES.L001594.1"	"The Future of our Food: Resilience, Security and Justice in a Global Context"	"http://researchcatalogue.esrc.ac.uk//grants/ES.L001594.1/read"	"2013"	"2015"	"Globally agricultural and food systems are undergoing significant transformations as a result of globalisation, industrial development and changing lifestyles. These result in a variety of ecological, social, cultural, political and economic changes which affect the ability of food systems to grow food sustainably and distribute it fairly. These challenges have been discussed in a range of scholarly fields and have also been addressed by a range of policy frameworks, political institutions, civil society organisations, corporations and popular social movements. However, there is very little consensus on what sustainable agriculture entails and how to design just and resilient food systems. Three key bodies of academic literature, however, are converging around the idea that sustainability, justice and resilience are, first, interlinked and, second, that they all emerge from democratic food systems in which producers and consumers can exercise autonomy over the choices they make. Our series of workshops will bring together academics, policymakers and representatives of the private and third sectors, along with input from members of the general public, to advance understanding of what sustainable, resilient and just agri-food systems look like in the UK, Brazil and India, which together represent important exemplars of food-system challenges."	"81"	"Boehm, Steffen"	"-1"
"RES-354-25-0001"	"MAPP-MAL: Multidisciplinary approach to a prototype for prevention of malnutrition in older people: products, places, people and procedures"	"http://researchcatalogue.esrc.ac.uk//grants/RES-354-25-0001/read"	"2008"	"2012"	"The aim of the New Dynamics of Ageing mapp mal project is to develop a new systems prototype for food provision to older patients to prevent malnutrition. The project will first map out current practice in hospitals for provision of food to older patients and identify opportunities for change. Then, with input from end users and stakeholders, a new food system will be devised that exploits new and existing technologies in considering 4 key areas: the food provided, including new foods for patients with swallowing difficulties the 'Food Journey' - how the food is transferred from the production site to the patient, and the maintenance of quality throughout this journey the patient's eating environment monitoring food intake. Development of the prototype for the Food Journey and Patient Environment will involve iterative design and process evaluation using scenario building and visualisation tools eg physical mock ups and virtual 3D modelling of ward and patient environments. The feasibility and acceptability of the prototype will be investigated through qualitative investigations with end users and stakeholders to determine the workability/integration into real life. The potential application of the prototype to other care settings for older people will also be investigated.   "	"81"	"Moynihan, Paula"	"-1"
"RES-000-22-3891"	"A visual exposure strategy to facilitate the introduction of fruit and vegetables into the diets of toddlers"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-3891/read"	"2010"	"2011"	"Previous research has established that the frequency with which preschool children are offered a new food determines their liking and consumption of the food. However, up to 15 exposures may be needed to elicit a positive attitude, a number greater than most parents are willing or able to provide. Our previous work suggests that repeated visual exposure to pictures of foods provides an alternative means of enhancing children's interest in foods. This project examines whether a visual exposure intervention can also ease the introduction of new foods into toddlers' diets within the home environment.   The main aims of the project are: To document the typical pattern of rejection and acceptance of new foods shown by toddlers when parents offer them a taste of a new food every day for a three-week period; To establish whether two weeks of prior exposure to pictures of foods facilitates parents' attempts to introduce the foods; To elucidate the longer-term consequences of the exposure manipulation on children's liking of and consumption of the target foods, and on their dietary variety in general. This will be achieved by collecting data on children's fruit and vegetable intake at baseline, during the intervention and at a three-month follow-up. "	"81"	"Houston-Price, Carmel"	"-1"
"ES.J009415.1"	"Innovations to Promote Growth among Small-scale Irrigators in Africa: An Ethnographic and Knowledge-Exchange Approach"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J009415.1/read"	"2013"	"2015"	"This project examines the rules and norms governing access to and control over water by smallholder farmers, considering how these are influenced by externally-induced innovations and the effects of climate change. The project aims to determine if general principles of water allocation and equity can be identified, and what the scope is for transferring them across contexts. It involves comparative research in Bangladesh, Tanzania and Malawi. Key questions include:  What are the ‘local rules’ for governing access to water and what shapes these?  What is the relationship between ‘local’ rules and ‘outside’ influences such as    government, business and NGO initiatives? How are the politics of water control changing? The Principal Investigator of the project is Dr Elizabeth Harrison in the Anthropology Department at the University of Sussex. Prof Dominic Kniveton (Geography Department) is Co-Investigator and Dr Canford Chiroro is full time postdoctoral research fellow. Research partners in the three field sites are based at Mzumbe University, Tanzania, Jahangirnagar University, Bangladesh and Bunda College of Agriculture, Malawi."	"81"	"Harrison, Elizabeth"	"-1"
"ES.J009334.1"	"Information, market creation and agricultural growth"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J009334.1/read"	"2012"	"2016"	"Recent years have witnessed renewed appreciation that agriculture could play a significant role in the pursuit of Millennium Development Goals. In this context, the role of information dissemination through information and communication technology (ICT) in improving rural welfare is highlighted. However, some fear that with ICT technological disparity will arise, and existing socio-economic inequality and poverty will be further exacerbated. This study will use randomised experiment and surveys before and after the experiment to investigate the impact of ICT on rural welfare in the Indian state of Karnataka. The two key aims of this project are: to unravel the linkage between information access and agricultural growth, rural development, reduction of poverty, and income and social inequality to identify the role of ICT as a potential instrument of rural information and empowerment for inclusive growth. The randomised experimental methodology proposed here involves facilitating information access on key agriculture related services to households in some villages and not in others. Combining data from both surveys and the experiment, we investigate the impact of information dissemination on agricultural practices, household incomes, social network, risk coping mechanism and caste disparity."	"81"	"Arjunan, Subramanian"	"-1"
"ES.K013130.1"	"Reproductive Health, Nutritional Status, and Macroeconomic Shocks: A Multi-Level, Quasi-Natural Experimental Analysis of Food Commodity Prices"	"http://researchcatalogue.esrc.ac.uk//grants/ES.K013130.1/read"	"2013"	"2015"	"Global food price rises threaten to undermine progress in improving maternal and child health and nutrition. As the World Bank 2012 Global Monitoring Report titled ‘Food prices, nutrition, and the MDGs’ concluded “Even temporarily high food prices affect the long-term development of children...seemingly small shocks can exert great damage if they are not dealt with early.”  While there is strong evidence that maternal and fetal nutrition affect children’s development, and survival, there is relatively little evidence linking aspects of reproductive health (eg breastfeeding, neonatal mortality) to the price and availability of nutritious food.  Thus, our project aims to: Assess the effects of food commodity prices on reproductive and child health, specifically maternal and childhood nutrition, fetal development, neonatal mortality, and early-childhood development Identify national, state and household policy responses which may mitigate or exacerbate the reproductive and child-health effects of rising food prices To fulfil these aims, the initial phase of the project will provide a detailed qualitative and quantitative multi-level, case-study of India. The project will build a collaborative exchange between Public Health Foundation of India, Cambridge, and LSHTM, supported by a multi-disciplinary international advisory team.   "	"81"	"Stuckler, David"	"-1"
"RES-000-22-3524"	"The Impact of Retail Pricing on Overeating and Food Waste"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-3524/read"	"2009"	"2010"	"This project focuses on two great concerns for modern society regarding consumer behaviour towards food: overeating and food waste.  These problems impose substantial costs on society through healthcare costs associated with treating diseases linked with obesity and environmental costs associated with disposing food waste.  The project centres on food vendors' pricing practices used to drive higher sales volumes but which may encourage consumers to overbuy for their needs, leading to consumer overeating or throwing away food. Such pricing techniques include offers couched in terms of bargain prices for buying more food.  For example, restaurants offer customers larger food portions for little extra cost, free refills on soft drinks, two meals for the price of one, and all-you-can-eat buffets for a set price. Similarly, supermarkets make extensive use of multiple-unit pricing offers such as ""three for the price of two"" and ""buy one get one free"" (""BOGOF"").  The research provides theoretical and empirical analysis on whether and to what extent such offers are beneficial or harmful from an economic and social perspective with the purpose of providing fresh insights for the current policy debate on how best to tackle these two great social problems."	"81"	"Dobson, Paul"	"-1"
"RES-229-27-0002"	"Integrating economic and landuse models to anticipate rural vulnerability to climate change."	"http://researchcatalogue.esrc.ac.uk//grants/RES-229-27-0002/read"	"2007"	"2010"	"What might climate change do to the food we depend on? On one hand, we know that farmers need abundant – but not excessive – rainfall, sunlight, and soil nutrients. As climate change may disturb these conditions, are we headed for trouble? After all, history is littered with examples of civilizations that collapsed because food supplies ran low. On the other hand, the environment has always changed and most of the time we adapt. That humans have set up camp in almost every type of ecosystem on the planet shows how resilient a species we are. This research will take on the question, “will we adapt to climate change?” and focus specifically on what climate change might do to the food we rely on. This is a critical issues as food represents the front line of our relationship with nature. Despite massive technological advances, food production has always been, and in all likelihood always will be, tied to the sun, the rain, and the soil. In a day and age when the availability of sun and rain seems to be changing quickly, understanding the nature of food production (and how it moves from farm to plate) may be vital to our survival. "	"81"	"Fraser, Evan"	"-1"
"ES.L002051.1"	"Supporting interventions for healthier catering: tools and resources for SMEs in the independent fast food sector"	"http://researchcatalogue.esrc.ac.uk//grants/ES.L002051.1/read"	"2013"	"2014"	"Public health concerns regarding rising levels of obesity have led to the development of several initiatives to encourage fast food outlets and their customers to adopt healthier catering and consumption practices. These have had varying degrees of success.  This project builds on research with the independent fast food sector which has identified barriers to the adoption of healthier catering practices - particularly with businesses operating in more deprived areas. It will be working with public health officials developing and managing healthier catering initiatives to identify: business models that involve the sale of healthier fast food that work for independent outlets - particularly in deprived areas healthier changes that fast food businesses will adopt voluntarily and the barriers where a greater degree of intervention may be required, such as legislation or intervention with supply chains behaviour change strategies (nudges) that can successfully be used by fast food businesses to encourage healthier consumption patterns amongst their customers ways in which suppliers can be encouraged to reformulate or promote products to encourage businesses to purchase healthier varieties. The outputs will include a toolkit to assist those involved in promoting healthier catering practices with SMEs and policy briefings outlining feasible intervention strategies."	"81"	"Bagwell, Susan"	"-1"
"ES.J020761.1"	"Food Marketing Regulation and Childhood Obesity Prevention"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J020761.1/read"	"2012"	"2013"	"Food marketing has been associated with growing rates of obesity, a problem which has taken ‘pandemic’ proportions worldwide and entails heavy social and economic costs. This project aims to achieve a better understanding of the need and constraints involved in regulating food marketing to children as part of effective obesity prevention policies worldwide, and in the UK more specifically. The Project has three related strands. The Grant Holder will first spend five months at the World Health Organisation in Geneva to help selected states from across the world identify potential barriers to the development and implementation of policies on food marketing to children and find potential solutions. The second part of the Project consists in the organisation of a one-day conference in London which will focus on what the UK should do to fully comply with the WHO Recommendations on food marketing to children. The Project will conclude with the publication of a monograph intended, first, to capture existing knowledge on food marketing to children and, secondly, to replace practical concerns within a broader theoretical framework to bridge the gap existing in this area between academia and practice.   "	"81"	"Garde, Amandine"	"-1"
"RES-062-23-1882"	"Biosecurity Borderlands: making biosecurity work in a complex landscape"	"http://researchcatalogue.esrc.ac.uk//grants/RES-062-23-1882/read"	"2009"	"2013"	"Biosecurity Borderlands seeks to investigate the practices, understandings and pressures created as biosecurity is extended into the British food system and landscape. The economic and social costs associated with communicable animal diseases, particularly after recent foot and mouth, avian influenza and bluetongue outbreaks in the UK, have made biosecurity both a key policy goal and a widely used if poorly understood term. The term biosecurity is often used to suggest a sanitised landscape and a clinical approach to food and agriculture, with little patience for the untidiness of food and landscape practices that need to contend with a range of other concerns. The project explores the interfaces between biosecurity and other concerns, including workers’ health and safety, eating cultures and food security, and wildlife conservation practices. This exploration will be undertaken through ethnographic work on farms, in food safety settings and on wildlife reserves, as well as through focus groups with lay publics. The project is supported by partner organisations including the Wildfowl and Wetlands Trust and the Food Ethics Council. "	"81"	"Hinchliffe, Steve"	"-1"
"RES-000-22-2156"	"Café - Changes Around Food Experience (impact of reduced contact with food on social engagement and wellbeing of older w"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-2156/read"	"2007"	"2008"	"Food practices contribute to expressions of gender, class, location, ethnicity and beliefs, conveying a sense of identity and self. For older women, the planning, purchasing, preparation and serving of food are often a distinctive and vital part of their roles as individuals and within the family. For women with reduced involvement in these tasks, physiological needs for food are often supported by services such as meals-on-wheels, informal support from family, friends and congregate meals. However, the changes may also affect women’s sense of well-being, identity, self-esteem and engagement with family and friends. The psycho-social implications of these changes have not been fully explored, nor how they may relate to service development or policy consequences. This qualitative study will work with women aged at least 65 years who live at home but do not prepare their own main meals. In-depth interviews and focus groups will be used to explore how older women respond to their experiences of reduced contact with food, specifically - Meanings of food, social engagement and well-being, How this impact alters over time, and The potential for intervening to restore greater contact with food in these women. Implications for services and policy development will be highlighted. "	"81"	"Hooper, Lee"	"-1"
"R000223410"	"The Politics of GM Food"	"http://researchcatalogue.esrc.ac.uk//grants/R000223410/read"	"2001"	"2002"	"The issue of genetically modified (GM) food policy is of pivotal importance given that it affects everybody and has, in recent years, featured as a major source of controversy. In just four years a technology which seemed part of progress itself has become intensely controversial. The Government has become noticeably more cautious on the issue, as evidenced by Prime Ministerial statements made at the end of February 2000. The composition of advisory bodies dealing with the subject has been altered to include a wider constellation of approaches and supermarkets have been reducing the availability of GM food on their shelves. Previous ESRC funded research has concentrated on risk management and has criticised the lack of input from environmentalists on governmental advisory bodies. However we need to acknowledge that environmentalists, who have limited resources when compared to the food technology companies, have managed to sway public opinion and change government policy. Previous research has been silent on this issue. There is a battle between two sets of ideas concerning GM food. The food technology companies argue that the technology will produce cheap food; the environmentalists contend that there are major health and environmental risks with the technology. This research will examine both how and why the environmentalists view of GM foods has become more important in influencing Government policy. More specifically, the research will focus on three areas: the role of policy networks; the attitudes of food retailers in this area and the factors which have shaped these attitudes; and the influence of environmental groups on science policy. All these issues will be examined in the context of the relevant theoretical literature. Policy networks According to many students of public policy, policy networks play a crucial role in policy development and implementation. We shall identify the policy network(s) involved in this area and assess its(their) influence over policy making. In addition, we shall examine how the network(s) has(have) changed over time as the importance of environmental groups has grown and how any change in the network(s) has (have) been related to policy change. At the same time we shall consider the role of the EU in relation to both the policy network(s) and policy outcomes. Food retailers and GM foods Here a number of issues are crucial: How is it that leading food retailers have, by engaging in self-regulation on GM foods, taken it upon themselves to intervene in matters which are normally regarded as being political? What are the circumstances surrounding the changes in attitudes of food retailers towards GM food? To what extent have the actions of the food retailers been influenced by the activities of environmental groups? How has the self-interest of the food retailers been re-interpreted in this instance? Science and the environment The GM food controversy has occurred in the wake of so-called food scares such as salmonella in eggs and the BSE problem. To what extent does this trend indicate that we have entered an age in which new technologies pose ever greater risks to our survival? Or is it rather better seen as evidence of how the strength of environmental ideas has increased and how people are now more prone to mistrust, or at least be sceptical of, the judgements made by establishment experts? This project will examine these issues. Methods The research will involve analysis of governmental and Parliamentary papers and reports. However the major source of primary data will be a series of interviews with key actors in the policy making process. We shall interview: 1. Civil servants and political advisers. The interviews will be conducted in the MAFF, the DTI and the Environmental Section of the DETR. We shall also interview Government scientists and members of advisory groups. 2. The food industry and retailers. This includes not only food technology companies but also the food retailers. 3. The environmental movement, including a wide number of differing groups with differing objectives and tactics. 4. The media. It important to analyse the way in which the media has dealt with the issue since it is the appearance on the media agenda of the GM food issue that has given opportunities to environmental groups to establish their case. END "	"81"	"Marsh, David"	"-1"
