"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"investigator_data__INSTITUTION"
"RES-224-25-0041"	"Realising the Links between Quality Food Production and Biodiversity Protection"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0041"	"2005"	"2007"	"Can grazing-land biodiversity add value to the production of meat and cheese and therefore benefit rural economies? Or are farming and the protection of natural habitats mutually exclusive? Explore the interview, taster panel, focus group, field survey and sample analyses data that underpin these questions."	"University of Exeter"	"Buller, Henry"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0073"	"Implications of a Nutrition Driven Food Policy for the Countryside"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0073"	"2005"	"2009"	"Healthy eating is the mantra of the moment. How could we enhance the nutritional qualities of the food we eat, and what would the effect of that be for the countryside? Does the type of pasture cattle graze on affect the fats in their meat? Does growing soft fruit and salad crops under new ultra-violet transparent film enhance the levels of anti-oxidants that can reduce cancer? And what might be the consumer demand for such products. Explore the qualitative and quantitative data investigating these issues."	"University of Reading"	"Traill, Bruce"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0090"	"Managing Food Chain Risks"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0090"	"2005"	"2008"	"During crises such as BSE, E coli and foot and mouth disease there is often a narrow, technical response to the problem. This project incorporates the thinking and values of stakeholders into the scientific modelling of food chain risks, focusing on three contrasting case studies: pesticide residues in fruit crops, campylobacter in chickens and a mock crisis scenario. Producers, non-governmental organisations, regulators, risk managers and members of the public have been involved in defining the problem, discussing their understanding of risk and suggesting how it might be communicated most effectively."	"University of Surrey"	"Shepherd, Richard"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0093"	"Overcoming Market and Technical Obstacles to Alternative Pest Management in Arable Systems"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0093"	"2005"	"2009"	"Chemical pesticides have often been blamed for a range of environmental and human health issues. This research looks at alternatives to the use of insecticides in arable agriculture and the difficulties facing producers in switching over to them. Two approaches are explored: habitat manipulations, to encourage predators and parasites, and using naturally occurring odours to manipulate predator distribution as model technologies. Aim is to improve the way research and development of new products and techniques are carried out to help break the dependence on chemical pesticides."	"University of Kent"	"Bailey, Alistair"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0086"	"Sustainable and Safe Recycling of Livestock Waste"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0086"	"2005"	"2008"	"Dairy and beef farmers provide consumers with reliable sources of milk and meat but can we be sure that the animal waste is disposed of safely and without environmental and social risks? Current perceptions of farmers, retailers, consumers and local downstream industries, such as tourism and shell fisheries, about pathogen transfers to the food chain were studied. A farm-scale risk assessment tool evaluates how changes in management practices can help to address the problem and the impacts such changes have on farm costs, as well as the potential costs to other stakeholder groups and the region as a whole."	"Rothamsted Research"	"Chadwick, Dave"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0066"	"Warm water Fish Production as a Diversification Strategy for Arable Farmers"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0066"	"2005"	"2008"	"Fish is promoted as a healthy food, but wild fish stocks are dwindling and conventional fish farming in the UK is criticised on environmental and welfare grounds. Can small-scale farming of the tropical fish tilapia offer an alternative as a locally and sustainably produced fresh fish and a diversification opportunity for UK farmers? Explore the data on technical production, marketing opportunities, consumer attitudes and farmer motivation for on-farm tilapia production in the UK."	"University of Stirling"	"Little, David"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0036"	"Impact of Private Sector Environment Standards on the Ecological Performance and International Competitiveness of UK Agriculture"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0036"	"2004"	"2005"	"Private environmental standards for agriculture have emerged as a key tool to manage quality, food safety and various intangible attributes relating to production practices - including impacts on the environment - within the supply chains of multiple food retailers and branded manufacturers and processors."	"Royal Agricultural College"	"Baines, Richard"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0086"	"Sustainable and and Safe Recycling of Livestock Waste"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0086"	"2005"	"2008"	"Dairy and beef farmers provide consumers with reliable sources of milk and meat but can we be sure that the animal waste is disposed of safely and without environmental and social risks? Current perceptions of farmers, retailers, consumers and local downstream industries, such as tourism and shell fisheries, about pathogen transfers to the food chain were studied. A farm-scale risk assessment tool evaluates how changes in management practices can help to address the problem and the impacts such changes have on farm costs, as well as the potential costs to other stakeholder groups and the region as a whole."	"Rothamsted Research"	"Chadwick, Dave"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0014"	"Collaborative Deer Management"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0014"	"2006"	"2009"	"There are many associated costs and benefits in the management of deer. Deer management creates jobs for stalkers on forestry and sporting estates and for people in the meat industry. Deer create particular landscapes that attract tourists. However in some areas, high deer numbers cause damage to sensitive habitats, to crops and gardens and cause road traffic accidents. Therefore there are many different attitudes to deer and conflicts on how best to manage them. This research investigates how well people involved in deer management work together and how this can be improved so that the benefits are maximised whilst the costs are minimised."	"The James Hutton Institute"	"Irvine, Justin"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0025"	"Management Options for Biodiverse Farming"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0025"	"2006"	"2009"	"Natural and social scientists look at the social, economic and political factors underlying farming practice, and the implications for biodiversity when farmers decide to change what they do or how they do it. This is done using ecological models to predict how key biodiversity indicators such as weeds and birds will respond to the way the land is managed."	"University of Cambridge"	"Sutherland, William"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0010"	"Improving the Success of Agri-Environment Schemes"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0010"	"2006"	"2011"	"Agri-environment schemes are intended to improve natural habitats but the results are mixed. This project examines how well wildlife habitats are created under such schemes, and whether training for farmers improves the outcomes."	"Centre for Ecology and Hydrology"	"Bullock, James"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0006"	"The Effects of Scale in Organic Agriculture"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0006"	"2006"	"2010"	"A move to organic farming can have significant effects on wildlife, soil and water quality, as well as changing the ways in which food is supplied, the economics of farm business and indeed the attitudes of farmers themselves. Two key questions are addressed: what causes organic farms to be arranged in clusters at local, regional and national scales, rather than be spread more evenly throughout the landscape; and how do the ecological, hydrological, socio-economic and cultural impacts of organic farming vary due to neighbourhood effects at a variety of scales."	"University of Sussex"	"Stagl, Sigrid"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0028"	"The Sustainability of Hill Farming"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0028"	"2006"	"2009"	"Moorland ecosystems are particularly fragile. How can we manage them in a way that delivers sustainable hill farming communities while also protecting the environment? Taking the Peak District as a case study, researchers examine how farmers respond to policy changes and how they can design business plans to cope with such changes most effectively. New modelling tools examine the dynamics of moorland change across whole landscapes, how the actions of one farmer affect those of neighbours and how upland bird species rely on a diversity of habitats across the landscape."	"University of Tennessee"	"Armsworth, Paul"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0020"	"Impacts of Increasing Land Use under Energy Crops"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0020"	"2006"	"2009"	"Future policies are likely to encourage more land use under energy crops: principally willow, grown as short rotation coppice, and a tall exotic grass miscanthus. These crops will contribute to the UK’s commitment to reduce CO2 emissions. However, it is not clear how decisions about appropriate areas for growing the crops, based on climate, soil and water, should be balanced against impacts on the landscape, social acceptance, biodiversity and the rural economy. This project integrates social, economic, hydrological and biodiversity studies in an interdisciplinary approach to develop a scientific framework for sustainability appraisal of the medium and long term conversion of land to energy crops."	"Rothamsted Research"	"Karp, Angela"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0001"	"Sustainable Uplands: Learning to Manage Future Change"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0001"	"2006"	"2009"	"Combining knowledge from local stakeholders, policy-makers and social and natural scientists in order to anticipate, monitor and sustainably manage rural change in UK uplands, offers a choice of options to address future challenges that could never have been developed by any group alone. After modelling factors driving future change to develop detailed pictures of possible future social, economic and environmental conditions, stakeholders and researchers identify strategies that could help protect and enhance future livelihoods and the environment and evaluate them through computer models, site visits and other participatory methods."	"University of Leeds"	"Hubacek, Klaus"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0001"	"Sustainable Uplands: Learning to Manage Future Change"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0001"	"2006"	"2009"	"Combining knowledge from local stakeholders, policy-makers and social and natural scientists in order to anticipate, monitor and sustainably manage rural change in UK uplands, offers a choice of options to address future challenges that could never have been developed by any group alone. After modelling factors driving future change to develop detailed pictures of possible future social, economic and environmental conditions, stakeholders and researchers identify strategies that could help protect and enhance future livelihoods and the environment and evaluate them through computer models, site visits and other participatory methods."	"University of Leeds"	"Reed, Mark"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0022"	"Energy Production on Farms through Anaerobic Digestion"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0022"	"2007"	"2010"	"The potential for the development of anaerobic digestion on farms is examined, and the contribution that this could make to diversification of agricultural practice by enhanced land use planning for bio energy production. The research addresses the policy issues, both within the broader European Community and the UK, to identify the drivers and obstacles that could stimulate or inhibit the development of on-farm digestion as part of a wider strategy for rural development."	"University of Southampton"	"Banks, Charles"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0004"	"Social and Environmental Inequalities in Rural Areas"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0004"	"2007"	"2009"	"Patterns of inequality in the distribution of social, economic and environmental goods and services in rural areas are examined. How do methods for measuring inequality differ within the natural and social sciences? And how can such differences be resolved and a common approach found? What are the implications of inequalities? Can they be regarded as unfair? And what are local residents' perceptions of local inequality and injustice."	"University of York"	"Huby, Meg"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0009"	"Catchment Management for Protection of Water Resources"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0009"	"2007"	"2010"	"Reductions in water pollution have so far mainly been achieved through regulation and investment in waste water treatment, but the underlying water quality problem in much of the UK remains diffuse pollution derived from current and past land use plus atmospheric deposition. Best management practices and buffers that protect water courses and recharge zones can achieve much, but ultimately changes in land use may be needed in the worst affected areas. Researchers look at the means, the governance needs, and the costs and benefits of alternative approaches, drawing on an analysis of international experience and investigation of two UK case study catchments."	"University of London"	"Smith, Laurence"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0008"	"Testing a Community Approach to Catchment Management"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0008"	"2007"	"2010"	"Loweswater catchment in the Lake District is used as a case study to see how scientists, institutional stakeholders, farmers and residents can share expertise and work together positively for the benefit of their environment. Is the current ""carrot and stick"" initiative the best option to ensure that landowners look after the environment? Is involving local people more in decision making and using their local knowledge and expertise a viable approach?"	"Lancaster University"	"Waterton, Claire"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0002"	"Angling and the Rural Environment"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0002"	"2006"	"2009"	"Which role does angling, as a leisure activity, play in the economy and the UK countryside? Angling is seen as important for rural employment, but rivers are under pressure from a whole range of human activities so their ability to sustain flora and fauna may be at risk. This project analyses the complex natural and socio-economic inter-linkages between river, fishing, biodiversity and institutions of governance and practice in order to inform policy on integrated development of the rural river environment."	"Newcastle University"	"Oughton, Liz"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0024"	"Modelling the Impacts of the Water Framework Directive"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0024"	"2006"	"2010"	"Modelling the impacts of the Water Framework Directive brings together hydrology, economics and other disciplines to examine both the physical impacts of the EU Water Framework Directive upon rivers and how the changes in land use needed to achieve a reduction in pollutants in water are likely to impact upon already fragile farming communities. A variety of innovative techniques are applied to attempt to value the likely benefits of improving outdoor water quality."	"University of East Anglia"	"Bateman, Ian"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0017"	"Integrated Management of Floodplains"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0017"	"2006"	"2009"	"Recent flood events in Britain have heightened interest in exploring solutions that can join up multiple objectives such as managing flood risk, water resource management, enhanced biodiversity, enjoyment of the countryside, and support to rural livelihoods. This project addresses these issues and re-examines a selection of agricultural flood defence schemes, previously studied in the 1980s, to identify and explain changes in land and water management that have occurred over the last 40 years."	"Cranfield University"	"Morris, Joe"	"-1"	"-1"	"87"	"-1"
"RES-227-25-0018"	"Understanding Environmental Knowledge Controversies"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-227-25-0018"	"2007"	"2010"	"Scientists, and those who use their work, have to think again about how science should inform democratic decision-making and the role of public engagement in this process. Taking the example of flood risk management, how and why the scientific practice of hydrological modelling becomes subject to scientific dispute and public controversy, and with what consequences for public policy, is examined. With hydrological models now capable of connecting local flood events to land management practices at catchment scale, the project develops 'competency groups' as a new method for bringing the knowledge of local people with experience of flooding to bear on the modelling of flood risk."	"Univesity of Oxford"	"Whatmore, Sarah"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0025"	"Science in the Field: Understanding the changing role of expertise in the rural economy"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0025"	"2008"	"2011"	"‘Science in the Field’ was a project exploring the working practices and expertise of three different groups of field-level advisors (farm animal vets, applied ecologists and land agents/surveyors). The research involved in-depth interviews with professional/ accreditation bodies, advisors and farmers as well as direct observation (work shadowing) of field level advisors. The project reflected on the role of advisors as knowledge brokers between research and land management practice, with a focus on how their knowledge and expertise is constructed and disseminated."	"Newcastle University"	"Phillipson, Jeremy"	"-1"	"-1"	"87"	"-1"
"RES-229-27-0003"	"Lessons from the past for the future of the uplands"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-27-0003"	"2007"	"2010"	"How does knowledge about the way landscapes have been formed historically influence how those who inhabit or visit those areas today appreciate them? Using evidence from historical records, archaeology and environmental data, changes in the upland landscapes of the Peak District and Sutherland over the past 500 years are traced. Upland areas of this kind continue to be under pressure from agriculture, climate change, tourism and other demands. Tracing historic changes can give a longer-term perspective to help understand the processes at work and to ensure that the upland ecosystem and rural communities are better able to adapt to future change."	"University of Stirling"	"Davies, Althea"	"-1"	"-1"	"87"	"-1"
"RES-229-27-0002"	"Integrating economic and land use models to anticipate rural vulnerability to climate change"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-27-0002"	"2007"	"2010"	"How may climate change affect food production and distribution, and the rural economy? A historical assessment of cases, where relatively small environmental problems have had major effects on food production and distribution systems, can be used to identify key factors that make systems vulnerable. Assessing the importance of these factors in a range of different circumstances and applying this knowledge to predicted changes in our climate can show future effects."	"University of Leeds"	"Fraser, Evan"	"-1"	"-1"	"87"	"-1"
"RES-229-27-0006"	"Norfolk Broads Futures"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-27-0006"	"2008"	"2011"	"The Norfolk Broads is a unique and fragile multifunctional landscape, providing wildlife habitat, recreational space, food, materials and employment. Since recreational and tourism use is likely to grow, development and land use change to support this must be carefully managed to keep the multiple functions in balance and ensure sustainability. Based on scenarios of possible future changes, the effects on biodiversity and ecosystem functions and the rural economy will be assessed."	"University of East Anglia"	"Appleton, Katy"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0062"	"Combining Socio-Economic and Environmental Data for Rural Areas"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0062"	"2004"	"2005"	"Explore the spatial database with a wide variety of socio-economic and environmental characteristics of rural census Super Output Areas in England."	"University of York"	"Huby, Meg"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0058"	"Relating Physical and Social Science Perspectives on the Use of Rural Catchments"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0058"	"2004"	"2005"	"Explore the focus group data on the rights, use and management of different groups of people involved in the river Esk and its surrounds and the ways in which information is communicated between groups."	"Newcastle University"	"Oughton, Liz"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0076"	"Social Change and its Ecological Effects in Village England"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0076"	"2004"	"2005"	"High levels of biodiversity exist within the fabric of the rural built environment, a feature that has hitherto been poorly recognised both within research and policy contexts. Many rural residents greatly value contacts with nature and this forms a key component in attracting many rural in-migrants. Nature in village space is not a static entity but is being continually reworked through complex socio-nature processes."	"University of Leicester"	"Phillips, Martin"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0088"	"Sustainable Upland Management"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0088"	"2004"	"2005"	"Explore data from stakeholder interviews and social network analysis on upland management and conflicts over managed burning in the Peak District National Park."	"University of Leeds"	"Hubacek, Klaus"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0039"	"New Understandings of Ecological, Economic and Social Interactions in a Lakeland Catchment"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0039"	"2004"	"2004"	"Social, ecological, economic and cultural knowledge all have a bearing on the ecological problems in Loweswater. Researchers and stakeholders may understand the catchment in different ways. Communication between different actors is essential to achieve integrated sustainable management of the catchment."	"Centre for Ecology and Hydrology"	"Maberley, Stephen"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0091"	"Analysing Visual Quality in Landscape Change Scenarios"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0091"	"2004"	"2005"	"Which preferences do people have for landscapes how do people perceive the character and conditions of a landscape?"	"The James Hutton Institute"	"Miller, David"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0042"	"Developing an Interdisciplinary Approach to Address Environmental and Social Issues Resulting from Changes in Land Use in the English Lake District"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0042"	"2004"	"2005"	"How can social and natural scientists work together in order to address environmental and social issues resulting from changes in land use in the English Lake District? Explore the interviews that provide personal accounts of processes of institutional and environmental change."	"Centre for Ecology and Hydrology"	"Tipping, Edward"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0102"	"Rural Economy and Land Use Simulation Modelling"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0102"	"2004"	"2005"	"Simulation modelling allows testing different hypotheses of how a system can be changed, without the time, expense and moral implications of altering a real system. They typically attempt to optimise resource use and maximise a particular output. However, many human decisions are not made on this basis. A new approach called agent-based modelling attempts to capture the actual processes of decision-making at the level of an individual or institution, and can take into account many of the constraints faced in real life such as limited information, communication between individuals, and interactions with the environment."	"The James Hutton Institute"	"Matthews, Robin"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0119"	"Landscape as an Integrating framework for Rural Policy and Planning"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0119"	"2005"	"2005"	"Whilst ‘landscape’ has often been treated as a purely sectoral or specialist issue in land use decisions, it can more positively be viewed as an over-arching device for comprehending patterns and processes of countryside change. This Development Activity reflects our growing acknowledgement of landscape as a multifunctional, rather than essentially visual, construct. To this end, it will: (1) produce a review paper examining the role of the rural cultural landscape – both as ‘container’ and ‘network’ – as a nexus of social, economic, natural and built ‘capital’; (2) elaborate a conceptual and practical model in which landscape is seen as a framework for area-based rural governance, rural data management, policy delivery and stakeholder participation; (3) suggest how this model might be tested by future, inter-disciplinary research; (4) conclude with a seminar/workshop in which the nature and implications of an integrative landscape model can be debated and disseminated. In so doing, it will explore landscape units as settings for a virtuous circle in which rural economic recovery, healthy lifestyles, sustainable environmental services and place-distinctiveness are mutually reinforcing; and it will broach impending major policy issues, such as the re-casting of protected areas as sustainability ‘greenprints’, and regeneration of rural economies through valorisation of local identity."	"University of Sheffield"	"Selman, Paul"	"-1"	"-1"	"87"	"-1"
