"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_data__INSTITUTION_ADDRESS1"	"institution_data__INSTITUTION_CITY"	"institution_data__INSTITUTION_COUNTRY"	"institution_data__INSTITUTION_ZIP"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"04-RESR-11"	"Temperature abuse in retail outlets"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Temperature-abuse-in-retail-outlets.aspx"	"2005"	"2007"	"safe food has previously conducted research on temperature abuse both in the home and in catering establishments. This project was designed to supplement this work by examining temperature abuse at retail level. Temperature abuse in conjunction with poor operational practices are the dominant factors in the mishandling of chilled food which often results in foodborne outbreaks. As the food service industry handling of perishable foods continues to grow significantly, compliance and safety of temperature-critical practices namely chill storage is essential in ensuring a safe food.The equipment scaling, maintenance and day-to-day operation are important factors to be controlled if microbial risks are to be minimised. The key areas which this project has targeted are the control and abuse of refrigeration and freezing in retail premises to include: fitness of equipment for the purpose and volume, defects in equipment and suitability of its position, maintenance and cleaning programmes, temperature monitoring, loading and stock rotation, staff responsibilities and training.The project involved a survey and risk assessment and work closely with Environment Health Officers in Northern Ireland and the Republic of Ireland. safe food funded this project collaboratively with the Food Institutional Research Measure (FIRM) programme under the Department of Agriculture and Food (DAF)."	"Dublin Institute of Technology"	""	""	""	""	", "	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Temperature-abuse-in-retail-outlets.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-109"	"Food Safety knowledge, microbiology and refrigeration temperatures in restaurant kitchens on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Food-Safety-knowledge,-microbiology-and-refrig-(1).aspx"	"2005"	"2008"	"Catering establishments, such as restaurants, cafes and canteens, are a major source of food poisoning outbreaks. The aim of the project was to identify hazards associated with food handling, storage, preparation and service in commercial catering premises throughout the island of Ireland. This was achieved through a microbiological survey, an audit of 100 catering establishments, and a questionnaire survey of kitchen managers’ practices and food safety knowledge. A number of key areas where catering establishments could improve their food safety practices and overall hygiene were identified in the course of this study and appropriate remedial actions were recommended. "	"Teagasc Food Research Centre"	""	"Dublin"	""	""	"Bolton, Declan J."	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Food-Safety-knowledge,-microbiology-and-refrig-(1).aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-041"	"Assessing the effectiveness of HACCP implementation and maintenance in food production plants"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessing-the-effectiveness-of-HACCP-implementatio.aspx"	"2001"	"2002"	"The objective of this study was to assess the effectiveness with which Hazard Analysis & Critical Control Point (HACCP) has been implemented and maintained in food manufacturing plants in both Northern Ireland and the Republic of Ireland.Where inadequacies in implementation or maintenance of the HACCP system were highlighted, the study sought to identify the contributory factors and make specific recommendations to overcome these limitations. The study was unique in that it involved an in-depth, two-day evaluation of HACCP at a manufacturing site."	"Yorkshire"	""	"UK"	""	""	", "	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessing-the-effectiveness-of-HACCP-implementatio.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-002"	"Epidemiology and molecular analysis of norovirus outbreaks in Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Epidemiology-and-molecular-analysis-of-norovirus-o.aspx"	"2004"	"2005"	"It has been increasingly recognised that noroviruses are a major cause of gastroenteritis causing large outbreaks of infectious intestinal disease in a number of settings.The overall aim of the project was to carry out surveillance of norovirus outbreaks on the island of Ireland and to link available epidemiological and molecular data on norovirus outbreaks in a common database. This data was used to review evidence for different transmission pathways e.g. person-to-person, foodborne. "	"Mater Misericordiae Hospital"	""	"Dublin"	""	""	"Kelly, Maureen Lynch and Sinead"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Epidemiology-and-molecular-analysis-of-norovirus-o.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01–RESR–123"	"Gastrointestinal symptoms in Ireland, North and South — a survey of general practitioners"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Gastrointestinal-symptoms-in-Ireland,-North-and-So.aspx"	"2002"	"2003"	"This project involved an all–island survey of 1,200 general practitioners to examine the burden of gastroenteritis in general practice. It also set out to examine the attitudes towards and practices in the management and prevention of gastroenteritis, particularly relating to food- borne illness. The study also described GP’s perspectives on the surveillance and notification of particular aspects of acute gastroenteritis."	"Food Safety Authority of Ireland"	""	"Dublin"	""	""	"Fitzgerald, Margaret"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Gastrointestinal-symptoms-in-Ireland,-North-and-So.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-123"	"Acute Gastroenteritis in Ireland, North and South — a telephone survey"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Acute-Gastroenteritis-in-Ireland,-North-and-South.aspx"	"2000"	"2002"	"This project involved a telephone survey to investigate the epidemiology of self–reported gastrointestinal symptoms, in terms of incidence, duration and seasonality. The project also aimed to determine the socio–demographic profile of those who reported illness, in order to determine the characteristics and risk factors with a view to prevention and health promotion policy.This report was co-funded with Food Safety Authority of Ireland, National Disease Surveillance Centre, University College Dublin, Communicable Disease Surveillance Centre-Northern Ireland and Food Standards Agency-Northern Ireland."	"Food Safety Authority of Ireland"	""	"Dublin"	""	""	"Fitzgerald, Margaret"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Acute-Gastroenteritis-in-Ireland,-North-and-South.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-12"	"Development of a training pack to allow General Practitioners to develop their role in the prevention and control of food-related disease outbreaks"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Development-of-a-training-pack-to-allow-General-Pr.aspx"	"2005"	"2006"	"The safe food study ""Acute Gastroenteritis in Ireland, North and South - A Study of General Practitioners"" found that infectious intestinal disease is a common problem in the primary care setting accounting for almost one in every twenty consultations. A key conclusion of that survey was that there was a need to support, equip and encourage General Practitioners (GPs) to develop their role in the prevention and control of food-related disease cases and outbreaks.This project developed a training resource for GPs on the clinical management of gastroenteritis. This provides practical tools and approaches for GPs on the topic of infectious food borne illness with concise information about diagnosis, treatment and disease notification.The key aims were:"	"Royal College of General Practitioners"	""	"BelfastFionan O'Cuinneagain"	""	""	"Reilly, Philip"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Development-of-a-training-pack-to-allow-General-Pr.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-018"	"Economic impact of gastroenteritis in Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Economic-impact-of-gastroenteritis-in-Ireland.aspx"	"2004"	"2006"	"Building on the findings of the report on ""Acute Gastroenteritis in Ireland, North and South: a Telephone Survey"" , this project assessed the economic impact of gastroenteritis across the IoI taking into account the burden on individuals, families, informal carers, primary care and hospital services.This was achieved by carrying out a study in general practices to provide data to improve estimates of overall numbers of cases and patterns of different pathogens in primary care; a study of treatment and costs of treatment in primary care; a survey of families of patients with gastroenteritis to assess impact on individuals, families and informal carers; and a study of hospital treatments and associated costs for people with gastroenteritis drawn from hospital admission data."	"London School of Hygiene and Tropical Medicine"	""	""	""	""	"Roberts, Jennifer"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Economic-impact-of-gastroenteritis-in-Ireland.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-2008"	"Control of Campylobacter in poultry: development of a dissemination programme for lessons for farmers on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Control-of-Campylobacter-in-poultry-development-o.aspx"	"2008"	"2009"	"This study determined best practices for the control of Campylobacter on poultry farms, based on mining the data produced by the Northern Ireland Industrial Training and Development Unit study.This was updated and combined with published studies to produce a concise list of current best practices which was then widely disseminated in the poultry farming community across the island of Ireland in order to assist in meeting the goal of Campylobacter -free broilers. Experiences in Iceland and Belgium have shown that this would assist in the reduction of Campylobacter food poisoning in the human population. "	"Queen's University Belfast"	""	""	""	""	"Madden, Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Control-of-Campylobacter-in-poultry-development-o.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"07-2008"	"Survey to determine the presence of Salmonella and Campylobacter in retail packs of raw chicken purchased throughout the Republic of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Survey-to-determine-the-presence-of-Salmonella-and.aspx"	"2009"	"2010"	"This study determined the presence of Salmonella spp. and Campylobacter spp. in retail packs of raw chicken purchased throughout the Republic of Ireland. Overall 500 packs of raw chicken were purchased and analysed. The results were then compared with studies from around the world to allow their relative significance.The prevalence of Salmonella spp. and Campylobacter spp. in retail packs of raw chicken in the  Republic of Ireland  was defined. This study benchmarked the prevalence of these two major foodborne pathogens in the  Republic of Ireland . "	"Agri-Food and Biosciences Institute"	""	"Belfast"	""	""	"Madden, Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Survey-to-determine-the-presence-of-Salmonella-and.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-086"	"A comparative study of thermophilic Campylobacter isolates of clinical and food origin using genotypic and antimicrobial characterization techniques"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-comparative-study-of-thermophilic-Campylobacter.aspx"	"2001"	"2003"	"The principal objective of this project was to examine the genotypic profiles of thermophilic Campylobacter isolates recovered from retail food samples in three population centres (Dublin, Galway and Belfast) and compare them with clinical isolates obtained from human patients.This project was also extended to include an examination of the role of companion animals in the transmission of this infectious agent. "	"University College Dublin"	""	""	""	""	"Whyte, Paul"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-comparative-study-of-thermophilic-Campylobacter.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-04"	"Sentinel surveillance of Campylobacter in Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Sentinel-surveillance-of-Campylobacter-in-Ireland.aspx"	"2005"	"2008"	"Campylobacter s are the most common bacterial cause of acute gastroenteritis in the developed world (Friedman et al. 2001). On the island of Ireland, there are approximately 2,500 confirmed cases of campylobacteriosis per year. However, the true burden of Campylobacter infections is thought to be much higher, a point of view supported by such surveys as the safe food acute gastroenteritis telephone survey in 2003. In particular, the epidemiology of Campylobacter infection is still poorly understood. This project involved the collection of detailed clinical and microbiological information on cases of Campylobacter infection in order to generate hypotheses as to potential risk factors for infection. Food, animal and human sources of Campylobacter were targeted. This project brought together Public Health Medical Practitioners, Clinical/Food Laboratory Personnel, Veterinary Health Specialists and Food Safety research expertise to address the growing issue of campylobacteriosis in Ireland. "	"Teagasc Food Research Centre"	""	"Dublin"	""	""	"Bolton, Declan"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Sentinel-surveillance-of-Campylobacter-in-Ireland.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-2014"	"Risk profiling Listeria in ready-to eat foods (RTE) and determination of control strategies and practical interventions"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Risk-profiling-Listeria-in-ready-to-eat-foods-(RTE.aspx"	"2014"	"2016"	"This project involves the risk profiling of Listeria in ready-to eat foods (RTE) and determination of control strategies and practical interventions for food processors across Northern Ireland. The study is based on an equivalent project carried out in the Republic of Ireland under the Food Institutional Research Measure (FIRM) translational research programme.The objectives of the project are:"	"Agri-Food and Biosciences Institute"	""	"Belfast"	""	""	"Madden, Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Risk-profiling-Listeria-in-ready-to-eat-foods-(RTE.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"11-2008"	"A survey of retail cold sliced meats with particular reference to the presence of Listeria monocytogenes and Clostridium botulinum toxin, to include reduced-salt and reduced-fat products"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-survey-of-retail-cold-sliced-meats-with-particul.aspx"	"2008"	"2010"	"This survey provided valid and reliable data on the numbers and range of the complete list of foodborne indicator organisms from ready-to-eat cold cooked sliced meats sold at retail throughout the Republic of Ireland. In addition, information on the incidence of Clostridium botulinum toxin in such products was provided, as was data on the chemical composition and water activity of the products tested.The extent and range of products tested, together with the breadth of analyses undertaken, identified the extent to which such products contribute to the foodborne infections and illnesses in the Republic of Ireland.This data complements similar surveys carried out in recent years in Great Britain, where the incidence of listeriosis has increased in recent years. "	"Agri-Food and Biosciences Institute"	""	"Belfast"	""	""	"Madden, Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-survey-of-retail-cold-sliced-meats-with-particul.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"06-RESR-02"	"Survey of retail smoked fish with particular reference to the presence of Listeria monocytogenes"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Survey-of-retail-smoked-fish-with-particular-refer.aspx"	"2006"	"2007"	"This study examined ready to eat (RTE) retail smoked fish with particular reference to Listeria monocytogenes . Samples of RTE hot and cold smoked fish were purchased from retail outlets throughout the Republic of Ireland and analysed.Overall contamination by Listeria spp. was 10.2% (all at acceptable levels). The pathogen was detected in 4.7% of samples at <10 cfu/g. Of the 105 samples of cold smoked fish tested, 19 (18.1%) contained Listeria ; nine of which were Listeria monocytogenes . Of the 151 samples of hot smoked fish tested seven contained Listeria ; two of which were Listeria monocytogenes .The survey revealed that salmon was the most common fish contaminated with Listeria spp. with 22 positive isolations; 10 of which were L. monocytogenes . Mackerel was less frequently contaminated with three positive Listeria isolations; two of which were L. monocytogenes . Trout showed the lowest prevalence of contamination for Listeria spp. Neither Salmonella nor E. coli were detected in any sample while nine samples contained Staphylococcus aureus . Enterobacteriaceae were detected in just two of the 256 samples taken. "	"Food Safety Assurance"	""	"UK"	""	""	"Banks, Jeff"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Survey-of-retail-smoked-fish-with-particular-refer.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"Synergy project"	"Establishment of the prevalence of Listeria monocytogenes in both specified food samples and faecal samples, and to type all isolates for the purpose of comparing similarity between the strains isolated"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Establishment-of-the-prevalence-of-Listeria-monocy.aspx"	"2005"	"2005"	"There is a scarcity of data on the incidence of Listeria monocytogenes in butter spreads and in fresh, soft and semi–hard cheeses. There have been a number of large outbreaks, mainly in North America, where Listeria monocytogenes was identified as the causative agent.The aim of this project was to establish the prevalence of Listeria monocytogenes in dairy products, including butter, cheese and pates purchased from retail outlets in the Waterford area. The project compared strains found in food with those of clinical isolates and allowed for the establishment of a bank of isolates for use in further research. "	"Waterford Regional Hospital"	""	""	""	""	"Shanaghy, Noel"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Establishment-of-the-prevalence-of-Listeria-monocy.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-PG-09"	"Genetic analysis of resistance to detergents and industrial cleaning solutions in Listeria monocytogenes growing as planktonic cells and biofilms"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Genetic-analysis-of-resistance-to-detergents-and-i.aspx"	"2003"	"2006"	"Investigation of several outbreaks of listeriosis worldwide has indicated that contamination of foods with this pathogen appears to have occurred from a persistent source of the pathogen in the food manufacturing plant that survived industrial cleaning protocols.The objective of this project was to identify genes involved in the resistance of planktonic Listeria monocytogenes cells to detergents and industrial cleaning agents. Mutants exhibiting reduced detergent resistance were subsequently analysed for detergent resistance in biofilms. In addition the correlation between detergent and bile resistance were investigated to test the hypothesis that industrial detergents may select for bile resistant strains of L. monocytogenes in the food-processing environment. "	"University College Cork"	""	""	""	""	"Gahan, Cormac"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Genetic-analysis-of-resistance-to-detergents-and-i.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-PG-031"	"Listeria monocytogenes in low pH foods: an examination of the influence of food constituents on survival and gastric transit"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Listeria-monocytogenes-in-low-pH-foods-an-examina.aspx"	"2002"	"2006"	"The ability to tolerate highly acidic environments enhances the potential for growth of Listeria monocytogenes in low pH foods and permits survival during gastric transit. One mechanism that the bacterium uses to survive under such conditions is the arginine deiminase system.During the course of this project, the extent to which arginine and other food constituents play a role in the survival of Listeria monocytogenes in low pH foods was examined, and the role of these protective systems in determining the infectious dose of this important foodborne pathogen was investigated. "	"University College Cork"	""	""	""	""	"Hill, Colin"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Listeria-monocytogenes-in-low-pH-foods-an-examina.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-005"	"Development of a risk assessment model for Salmonella in shell eggs and processed eggs in Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Development-of-a-risk-assessment-model-for-Salmone.aspx"	"2005"	"2008"	"Hens' eggs are the principal source of Salmonella Enteritidis . This project investigated the effect of vaccination of layers and application of Quality Assurance (QA) schemes on the risk of human infection with Salmonella spp. from the consumption of eggs and processed liquid egg produced on the island of Ireland. An extensive survey of shell eggs and processed liquid eggs was undertaken to provide data on the prevalence of Salmonella spp. in eggs on the island. Data from this survey was used to develop two quantitative Microbiological Risk Assessments (MRAs), one for Northern Ireland and the other for the Republic of Ireland."	"Agri-Food and Biosciences Institute"	""	"Belfast"	""	""	"Madden, David McCleery & Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Development-of-a-risk-assessment-model-for-Salmone.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-08"	"Occurrence of Salmonella on pork on the island of Ireland and an assessment of the risk factors contributing to its transmission"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Occurrence-of-Salmonella-on-pork-on-the-island-of.aspx"	"2005"	"2008"	"Salmonella species have been consistently associated with food borne illness and are the second most common cause of bacterial food borne illness. Pork has now taken over from eggs as one of the most important food borne sources of Salmonella . Outbreaks of S. Typhimurium DT104 in Dublin in 1998 and the West of Ireland in 2000 which were linked to cooked ham resulted in 78 people and 140 people becoming ill respectively.In the Republic of Ireland and Northern Ireland, two different approaches are taken to control Salmonella in pigs. In the Republic of Ireland, every pig herd is tested on the farm on a quarterly basis to establish its Salmonella status. The category status assigned determines the treatment at slaughter and affects the need for further treatment or the destination of the meat. In  Northern Ireland , there is no statutory requirement for Salmonella testing in pork. There is a voluntary system in place which tests juice from meat samples for Salmonella antibodies as they go through the abattoir. Results are compared to the national average and specialist advice is given to farms producing pigs which display high levels of contamination.The overall aim of this project was to assess the effectiveness of current control programmes and the public health risk and economic cost attributable to Salmonella on pork on the island of Ireland. This project aimed to draw together and build on existing work in this area and carried out a risk assessment of the product pathway from farm to retail level. The research has provided the basis for key decisions on changes to the Regulatory Salmonella control programmes for pigs by the Department of Agriculture, Fisheries and Food in the Republic of Ireland. The research and developed risk model are also being fed into a European Quantitative Risk Assessment for Salmonella in pigs being developed by the European Food Safety Authority (EFSA)."	"Teagasc Food Research Centre"	""	"Dublin"	""	""	"Duffy, Geraldine"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Occurrence-of-Salmonella-on-pork-on-the-island-of.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-2014"	"Emerging issues: an analysis for Verocytotoxigenic Escherichia coli on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Emerging-issues-an-analysis-for-Verocytotoxigenic.aspx"	"2014"	"2015"	"This project will assess the capacity for the detection and characterisation of VTEC E.coli (incl. O157 and non-O157 serogroups) on the  island of Ireland , and will assist in identifying any gaps in the current arrangements as well as examining international best practice in this area. The aim of this study is to conduct desk research to examine the current procedures and capacity for the detection of VTEC in food, animal and human clinical samples on the  island of Ireland , and to investigate best practice in this area.The objectives of the project are:"	"Cork Institute of Technology"	""	""	""	""	"Lucey, Brigid"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Emerging-issues-an-analysis-for-Verocytotoxigenic.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"08-2013"	"Assessment of antibiotic resistant Escherichia coli in meat production systems on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-antibiotic-resistant-Escherichia-col.aspx"	"2013"	"2014"	"This project will assess the pathogenic potential of antibiotic resistant Escherichia coli (AREC), particularly those producing Extended Spectrum ? Lactamase (ESBL), in foods derived from animal production systems and to define the potential risks posed by these organisms to the consumer on the island of Ireland.The study will conduct a thorough definition of the phenotypic and genotypic properties of positive isolates, allowing the similarities of the isolates to be statistically defined. Based on these properties, the risk due to the pathogenic potential of ESBL-producing bacteria in the food chain for consumers on the island will be defined.The possible origins and dispersal mechanisms of the AREC will be considered and possible prophylactic measures proposed to limit exposure by consumers to ESBL-producing bacteria. "	"Agri-Food and Biosciences Institute"	""	"Belfast"	""	""	"Madden, Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-antibiotic-resistant-Escherichia-col.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-013"	"Surveillance of dairy herds for emerging pathogens - Salmonella, Campylobacter, Listeria, Enterobacteriaceae, Staphylococcus aureus and Mycobacterium avium subsp. Paratuberculosis (MAP)"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Surveillance-of-dairy-herds-for-emerging-pathogens.aspx"	"2005"	"2006"	"This project involved surveillance and monitoring of milk production holdings (bovine, ovine and caprine) supplying milk for farmhouse cheese production. The monitoring programme was carried out during a number of seasonal cycles in order to establish baseline data on the prevalence and characteristics of the following key pathogens; Salmonella, Campylobacter, Listeria, Enterobacteriaceae, Staphylococcus aureus and Mycobacterium Avium paratuberculosis .The information generated has provided key information which can be applied for risk assessment and epidemiological investigations in particular with regard to the food safety risks associated with unpasteurised dairy products. safe food funded this project collaboratively with the Food Safety Authority of Ireland. "	"Cork County Council"	""	""	""	""	", "	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Surveillance-of-dairy-herds-for-emerging-pathogens.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-PG-17"	"Arcobacter spp. in retail foodstuffs in Ireland: optimising isolation procedures and an investigation of their genetic relatedness"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Arcobacter-spp-in-retail-foodstuffs-in-Ireland-o.aspx"	"2004"	"2007"	"Arcobacter species have been historically associated with veterinary diseases, notably abortion and or other reproductive disorders. More recently however, A. butzleri and A. cryaerophilus have been recognised as human foodborne pathogens, most commonly associated with gastroenteritis, but also with cases of septicaemia. The lack of standardised detection techniques and the fact that Arcobacter isolation is not a routine hospital laboratory procedure has hindered accurate assessment of association of Arcobacter with human illness.This project optimised the isolation procedures for Arcobacter spp. The latest genotyping methods were applied and the genotype distribution was assessed. These procedures were used to examine the contamination of Irish foodstuffs."	"Queen's University Belfast"	""	""	""	""	"Madden, Robert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Arcobacter-spp-in-retail-foodstuffs-in-Ireland-o.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03–PG–011"	"A study of the factors controlling the survival, germination and outgrowth of Bacillus cereus in rice–based model foods using novel rapid flow cytometry methods and biochemical markers"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-study-of-the-factors-controlling-the-survival,-g.aspx"	"2003"	"2006"	"The consumption of takeaway meals and cooked chilled foods containing rice is popular nowadays. The main pathogen associated with cooked rice is Bacillus cereus , which can cause emetic or diarrhoeal food poisoning. It poses a food safety hazard because of its ability to exist as dormant spores and sub–lethally injure vegetative cells after cooking.In this project, a rapid, precise, accurate, repeatable and sensitive flow cytometric method for detecting Bacillus cereus was developed capable of rapidly identifying and enumerating viable and spore–forming cells. The method was used to assess the impact of various processing, storage and cooking regimes on the survival and reactivation of Bacillus cereus in rice–based foods."	"University of Limerick"	""	""	""	""	"Wilkinson, Martin"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-study-of-the-factors-controlling-the-survival,-g.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
