"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"institution_data__INSTITUTION_NAME"
"M 062"	"Mushrooms: Inhibiting fungicide degradation in casing, and evaluating fungicides, biopesticides and diseased area covering methods for fungal disease control "	"http://horticulture.ahdb.org.uk//project/mushrooms-inhibiting-fungicide-degradation-casing-and-evaluating-fungicides-biopesticides"	"2015"	"2017"	"Summary: Sporgon (a.i. prochloraz-manganese) is currently the only approved fungicide used in the UK mushroom industry. Degradation of prochloraz results in the production of inactive by-products, thereby reducing the efficacy of an applied dose in controlling wet and dry bubble diseases. This project aims to reduce degradation of prochloraz in the casing by reducing casing pH (which inhibits chemical breakdown) and/or stimulating a microbial population in the casing that is antagonistic to the microbes that degrade prochloraz. Casing treatments that are effective in inhibiting degradation of prochloraz will then be tested against standard casing for control of wet and dry bubble disease in pot and on-farm experiments.  Parallel tests in in vitro agar plate tests and in vivo casing experiments on the sensitivity of Verticillium and Mycogone isolates to prochloraz will be conducted. This will enable the results from rapid agar plate tests on pathogen isolates to be translated into effective Sporgon application rates on casing. Aims and Objective:  (i) Project aim(s):  1. Manipulate the casing pH and microbial population to inhibit the degradation of prochloraz to improve wet and dry bubble disease control 2. Calibrate the results of in vitro agar plate tests for prochloraz sensitivity of pathogen isolates so that they relate to levels of disease control achieved with prochloraz concentrations in casing in vivo. (ii) Project objective(s): 1. Determine the effect of the following casing factors on prochloraz degradation and control of wet and dry bubble: (a) casing pH (b) casing additives (cooked-out spent casing, bark, green waste compost) (c) bacterial inoculum (Bacillus subtilis) and supplements.  2. Calibration of in vitro plate test results for prochloraz sensitivity of Mycogone perniciosa and Lecanicillium (Verticillium) fungicola isolates against in vivo bubble disease control achieved with prochloraz concentrations in casing materials. Benefits to Industry:  • Reduced degradation of prochloraz in the casing with improved control of wet and dry bubble diseases • Enable growers to determine the required rate of Sporgon and its likely disease control efficacy in relation to the prochloraz sensitivity of the on-farm pathogens determined from agar plate tests • Minimise the use of Sporgon with reduced risk of prochloraz residues in the mushrooms and in the SMC • Determine the conditions that affect prochloraz degradation to reduce the persistence of prochloraz in SMC."	"146"	"Noble, Ralph"	"-1"	"6567"	"East Malling Research"
"HNS 196"	"Identification of inoculum sources for the newly emerged Peronospora causing downy mildew on aquilegia"	"http://horticulture.ahdb.org.uk//project/identification-inoculum-sources-newly-emerged-peronospora-causing-downy-mildew-aquilegia"	"2015"	"2016"	"Summary: Aquilegia downy mildew is caused by a species of Peronospora which is currently unnamed. The first occurrence of the disease appears to be on a nursery in 2011, with more widespread reports in gardens during 2013. Little or no work has been published on the disease and as a result it is difficult to establish from the literature why the disease has become more prevalent. This project aims to establish the main sources of inoculum for the disease on nurseries Aims and Objective:  The project aims to generate data which will enable growers to combat the threat from the newly emerging downy mildew on aquilegia (ADM). Project objective(s): 1.    To determine whether the Peronospora sp. responsible for ADM is present in seed batches and whether infected seed could act as a primary source of infection. 2.    Dissemination of results.  "	"146"	"Jennings, Philip"	"-1"	"-1"	"Fera Science Ltd (Fera)"
"PE 024"	"Basil: Improving knowledge and Control of Downy Mildew in protected and outdoor crops"	"http://horticulture.ahdb.org.uk//project/basil-improving-knowledge-and-control-downy-mildew-protected-and-outdoor-crops"	"2015"	"2017"	"Summary: Downy mildew in basil is a devastating disease caused by the plant pathogen Peronospora belbahrii. Work on the disease has already determined the conditions required for sporulation, however little work has been done to address the sources of infection, conditions required for infection and spore survival, or the most effective ways to control the disease.  Aims and Objective:  Aims:  The project aims to generate best practice guidelines to improve the control of basil downy mildew on crops grown under protection and outdoors. Objectives: 1. Epidemiology 1.1 Determine whether Peronospora belbahrii is present in UK seed lots and whether infected seed acts as a primary source of infection 1.2  Determine whether P. belbahrii can be detected in soil from outdoor production sites 1.3 Determine the conditions required for infection of basil by P. belbahrii 1.4 Determine survival of the different spore types under various environmental conditions 1.5 Determine the level of oospore production under protected and outdoor conditions 2. Determine the existence and importance of alternate hosts for P. belbahrii 3. Control 3.1.   Evaluate fungicide programmes in large-scale 'commercial' trials (protected and outdoor production) for efficacy against P. belbahrii. 3.2.   Evaluate the safety of fungicides & programmes for use on basil seedlings. 3.3.     Evaluate periods of illumination during the dark period to determine those which provide best suppression of infection and/or sporulation by P. belbahrii. 4. Dissemination of outputs from project through best practice guidelines, an article in HDC News  and presentation at appropriate grower meetings The production of best practice guidelines (objective 4) is dependent on results from the other objectives, however if necessary these could be produced based on the knowledge of epidemiology and control gained from other downy mildew diseases caused by Peronospora species. The remaining objectives are relatively independent of each other. In the absence of seed borne infection, determination of the existence of different strains or races of P. belbahrii (objective 1.3) would be dependent on the receipt of infected plant material from the industry."	"146"	"Jennings, Philip"	"-1"	"-1"	"Fera Science Limited"
"FV 398b"	"Carrots: Practical evaluation of field storage alternatives"	"http://horticulture.ahdb.org.uk//project/carrots-practical-evaluation-field-storage-alternatives"	"2015"	"2017"	"  Project summary: UK industry practice is to store carrots for winter / spring marketing in-situ, typically covered with a thick layer of straw (+/- polythene) to provide insulation against frost damage during the winter and to prevent warming and re-growth in the spring. However, the sustainability of field storage using straw (+/- polythene) is becoming increasingly challenged: due to the increasingly high cost and volatile supply of the large quantities of straw required; and also due to agronomic concerns such as nitrogen lock-up and weed issues. Consequently, carrot growers urgently need to examine and evaluate alternative options to current in-situ field storage practice. A previous project, (FV398a), identified inefficiencies (in terms of insulative value) in the current straw-based systems, some possible mis-conceptions, and alternative systems and materials that could have equivalent or better insulative value to the current system. However, estimates of insulative value of current and alternative systems were theoretical. This project will begin practical investigations of the current and alternative systems by (a) validation of the theoretical insulative values for alternative materials and their effect on crop quality and (b) investigate the requirements for practical implementation of alternative systems.      Project aim(s) and objective(s):   (i) Project aim(s): Practical investigation of alternatives for field-storage of carrots   (ii) Project objective(s): • To validate the theoretical calculations of insulation value of different 'systems' obtained in FV 398a • To determine the potential and practical issues associated with the most feasible alternatives identified in FV 398a • To hold a grower demonstration day     Benefits to industry: The area of carrots stored under straw is estimated at around 3-4000ha per annum. Current (2013) estimates for the costs of straw-based field storage systems are around £30 per 500 kg Hesston bale (delivered to field), applied at 80-120 bales/ha. With application and removal included, the technique costs around £4000-5000 per ha on top of crop production and harvesting costs. This is a significant and annually increasing additional cost to production which growers have to bear – and which is not sufficiently reflected in additional returns from customers for stored carrots. However, almost as important as cost is the vulnerability of straw supply – particularly with the effects of changing climate on cereal straw production, but also due to the increasing demands on the available straw supply by other agricultural or energy sectors. In addition concerns by landowners about the role of straw in the import of long-term weed problems (particularly blackgrass) affects the availability of (new) land for production. Theoretical calculations (in the previous project, FV 398a) of the insulation values indicate that a reduction in straw usage of up to 67% could be achievable by moving to a poly-over-straw system. This could amount to a saving of £2000 per ha, equivalent to at least £6 million per annum for the industry as a whole. Although the current costs of alternative materials may not lead to direct reduction in costs in the short term, there would be benefits in terms of being less reliant on a volatile supply of raw material and making additional land available where currently landowners are reluctant due to the risk of weed seed import.   Expected project outcomes • Validation of theoretical calculations for the insulation values of different field storage systems/materials in a range of environments.  • Information on the impact of different field storage systems on carrot quality at two harvest dates. • The above will enable growers to select alternative systems/materials with some confidence. • Information on the practical issues and engineering requirements that would affect the difficulty/ease of implementing alternative field-storage systems. • Field demonstration of the different systems.   Results from the project will be delivered back to growers through annual and final reports, field demonstration days, AHDB publications, dissemination at conferences and industry meetings as considered appropriate.    "	"146"	"Roberts, S."	"-1"	"-1"	"Plant Health Solutions Ltd"
"PE 027"	"Peppers: Review of options for control of aphid pests"	"http://horticulture.ahdb.org.uk//project/peppers-review-options-control-aphid-pests"	"2015"	"2015"	"Aims and Objective: To conduct an impartial, comprehensive review of research and knowledge relevant to the control of aphids in protected pepper crops. Review and collate current knowledge of controls and biology of aphid pests affecting pepper crops Identify knowledge gaps in aphid control in pepper crops and opportunities to adopt controls used in other countries or on other crops for use in pepper crops in the UK. Benefits to Industry: Benefits to growers Growers of pepper crops will benefit from being provided with knowledge that may be incorporated into IPM programmes, together with key information on the biology of key aphid pests that may support practical implementation of controls. Potential new insecticides, biopesticides and/or biological controls may be highlighted through this project. Availability of these products may, however, require regulatory hurdles to be met (e.g. SOLA applications) or additional research specific to pepper crops. Results from this review will be presented at the Pepper Technology Group’s conference in October 2015. The project outputs will assist growers in controlling aphid pests more effectively within IPM programmes, which will help to minimise use of pesticides through effective integration with non-chemical controls. This in turn will reduce losses associated with these pests. Benefits to other levy payers Other levy payers such as researchers, consultants and suppliers of controls used against aphids in a range of crops will also benefit from the project outputs. Key aphid species affecting pepper crops include Myzus persicae (peach-potato aphid) and Aulacorthum solani (glasshouse-potato or foxglove aphid). In addition, crops may also be affected by Macrosiphum euphorbiae (potato aphid) and Aphis gossypii (melon and cotton aphid). These four aphid species are major pests attacking a wide range of both protected and outdoor grown horticultural crops. As such this review will create a model, which will inform aphid control in other sectors. Indeed, although the focus of this review is aphid control in pepper crops, the review itself will draw on best practice in a range of crops where aphids are pests. Benefits to consumers Consumers will benefit from the continued successful implementation of IPM programmes in pepper crops. This continued success will ensure that consumers continue to benefit from the availability of high quality produce; achieved with the minimal use of insecticides. Benefits to the environment Minimising the use of chemical pesticides through the use of effective IPM programmes will reduce risks to the environment."	"146"	"Pope, Tom"	"-1"	"-1"	"Harper Adams University"
"PE 022a"	"Pepper: Improved control of Fusarium internal fruit rot through increased knowledge exchange with the Netherlands and targeted application of plant protection products - phase 2"	"http://horticulture.ahdb.org.uk//project/pepper-improved-control-fusarium-internal-fruit-rot-through-increased-knowledge-exchange-0"	"2015"	"2017"	"Project Summary: Internal fruit rot of sweet pepper grown in glasshouses has been an increasing problem worldwide, including the UK, for the last 15 years. The disease causes some losses on production nurseries but more importantly Fusarium continues to be a frequent cause of rejection by packhouses and product returns from supermarkets. Losses vary greatly between crops and seasons. We have shown several weakly pathogenic Fusarium species are associated with the disease, notably F. lactis and F. oxysporum in the UK. Fusarium spores deposited on the stigma during flowering grow rapidly through the style resulting in infection of seeds and internal fruit wall. Work in PE 007 demonstrated that a single spray of Serenade ASO applied to a crop during flowering can reduce the incidence of infection in fruit developing from treated flowers by around 50%. In PE 022 (phase 1) we showed F. lactis commonly occurs on rockwool propagation blocks in production glasshouses, a previously unknown source of the fungus. We also found that a high proportion of flowers and young fruits (1-2 cm diameter) in commercial crops were infected with F. lactis, yet only a relatively small proportion of fruit develop internal fruit rot. Results from 2014 and plans for 2015 were shared between the pathology teams at Bleiswijk Research Station (Wageningen University) and ADAS. This project aims to reduce losses to Fusarium internal fruit rot through: (1) continued information exchange and discussion on the disease with Dutch researchers; (2) examination of pepper seeds as a source of F. lactis and F. oxysporum that leads to growth of the fungi in rockwool propagation cubes; (3) determining the reduction in fruit infection provided by one and several applications of Serenade ASO to a crop row, cube surface and floor; (4) determining if use of biopesticides / plant resistance inducers applied preventatively provide protection to flowers and/or fruit against infection and/or fruit rot development; (5) monitor occurrence of F. lactis in flowers, young fruit and mature fruit in an organic pepper crop and a conventional crop; (6) communication of results to growers.   Aims and objectives: (i) Project aim: To reduce fruit wastage due to Fusarium internal rot through knowledge exchange and by targeted application of plant protection products.   (ii) Project objectives: 1. To continue liaison with the Dutch researchers working on Fusarium internal fruit rot and exchange information and results; 2. To investigate occurrence of Fusarium lactis and other Fusarium species on pepper seed, and infected seed as a possible source of Fusarium spp. on rockwool propagation cubes; 3. To determine the reduction in Fusarium internal fruit rot achieved by one or several sprays of Serenade ASO to flowers, crop and floor; 4. To examine a range of biopesticides and resistance inducers applied to flowers, leaves and roots on the level of Fusarium in flowers and young fruit; 5. To monitor occurrence of Fusarium lactis in flowers, young fruit and mature fruit in an organic pepper crop compared with a conventional crop; 6. To communicate results to UK pepper growers.    "	"146"	"O'Neill, Tim"	"-1"	"-1"	"ADAS UK Ltd"
"PE 025"	"Development and deployment of genotype-specific LAMP assays for monitoring Pepino mosaic virus (PepMV) in tomato"	"http://horticulture.ahdb.org.uk//project/development-and-deployment-genotype-specific-lamp-assays-monitoring-pepino-mosaic-virus"	"2015"	"2016"	"Project summary: Pepino mosaic virus (PepMV) is one of the most economically important disease of tomatoes in the UK.  In 2013 and again in 2014, crops of Piccolo on several nurseries were severely affected with 3-4 and occasionally more trusses of fruit affected, resulting in substantial financial losses.  Symptom severity in the same variety can vary greatly on different nurseries, raising the question of possible mixed genotype infections.  Efforts to exclude the virus from a nursery and prevent persistence between successive crops by strict hygiene measures have had limited success.  LAMP assays that can discriminate CH2, EU and US1 genotypes of PepMV were recently published.  The aim of this joint ADAS/University of Nottingham/Fera proposal is to establish the LAMP assays in the UK so that rapid on-site testing of tomato plants for three different genotypes of PepMV is possible.  The assays will then be used to: i) investigate occurrence of mixed-genotype infections in crops, especially any with severe symptoms; ii) investigate efficacy of hygiene measures after crop removal in removing PepMV from glasshouse structures and equipment; iii) determine survival in tomato roots in soil and in composted tomato waste; iv) if mild strain CH2 is permitted for use in the UK, determine the spread of mild strain through a crop after inoculation, and check for other genotypes.  A method for rapid detection of PepMV in water will be examined.  If required, and especially for any crops with severe symptoms, samples could also be tested for other virus diseases.   Aims and objectives: Project aim: To increase understanding of PepMV symptom severity, persistence on nurseries and mild strain cross-protection.   Project objective: To validate published LAMP assays for rapid detection of CH2, EU and US1 strains of PepMV; To determine occurrence of mixed genotype PepMV infections in tomato crops; To monitor greenhouse structures and equipment for occurrence of PepMV after crop removal; To determine survival in tomato roots in soil and in composted tomato waste; To validate a method for detection of PepMV in water and test some water samples from UK tomato nurseries; To monitor spread of mild-strain CH2 PepMV and check for other genotypes in crops inoculated with mild-strain for cross-protection; To communicate results to growers.   Benefits to industry: Availability of a new tool to increase understanding of the current most important and widespread disease of tomato in the UK Knowledge on which PepMV genotypes are currently present in UK tomato crops Potential explanation of why the same variety can show more severe symptoms on one nursery than another Potential identification of locations where PepMV is persisting on nurseries after crop removal, thereby permitting revision of crop-hygiene protocols to address ineffective treatments Increased confidence that after inoculation with a commercially available mild strain a high proportion of plants rapidly become infected by the mild strain, and are protected from severe symptoms from other strains of the same genotype(s). Potential to check samples with severe symptoms for some other virus diseases of tomato."	"146"	"O'Neill, Tim"	"-1"	"-1"	"ADAS UK Ltd"
"PE 028"	"Tuta absoluta: Investigating resistance to key insecticides and seeking alternative IPM compatible products"	"http://horticulture.ahdb.org.uk//project/tuta-absoluta-investigating-resistance-key-insecticides-and-seeking-alternative-ipm"	"2015"	"2015"	"Aims and Objective: To strengthen the UK tomato industry’s position regarding the long-term management of Tuta absoluta Project objective(s):  Laboratory-based resistance tests will be done to determine levels of spinosad resistance in UK populations of Tuta absoluta compared to previously established cultures of susceptible strains of the pest. Laboratory-based resistance tests will be done on the same samples to provide a baseline for chlorantraniliprole for future reference. Identify additional products which could be usefully incorporated into the UK tomato IPM programme. Transfer knowledge to the UK tomato industry. Benefits to Industry: In 2012, Tuta absoluta was considered to be the most important pest of tomato crops in the UK. At one nursery during June-July 2012, 30% of fruit were damaged by the pest and rendered unmarketable. That represented a loss of approximately £50k per hectare to that grower for that period alone (Jacobson & Howlett, 2013). British tomato growers admit that they became complacent about Tuta absoluta over the following 3 years due to the success of the new IPM programme. However, recent control failures have made it clear that the industry must remain one step ahead of this potentially devastating pest. As a consequence, Dr Jacobson has been asked to liaise with the Insecticide Resistance Team at Rothamsted Research (IRT RR) and undertake a series of studies to strengthen the industry’s long-term management of Tuta absoluta (TGA TC Minutes, 3 June 2015). As participants in the project, the TGA TC will receive direct and continuous updates on progress and discoveries. In addition, the results will be circulated to TGA members via the Associations’ own Newsletter. Results and conclusions may also be publicised via the AHDB Horticulture Newsletter and TGA Conference (as appropriate)."	"146"	"Jacobson, Robert J"	"-1"	"-1"	"RJC Ltd"
"CP 153"	"Robot demonstration for horticulture"	"http://horticulture.ahdb.org.uk//project/robot-demonstration-horticulture"	"2015"	"2015"	"Summary Over the last 8 years a joint venture between VHS and KMS Projects has made extensive trials with different camera / vision systems on different crops. The eventual aim of this is to develop a robotic harvester. After trying the different camera systems it was eventually decided that the 3D camera system would be the best for broccoli, to measure the size of each head and if they are within the required specification.    To date a vision guidance system to control a robotic arm has been designed. The research so far has been accomplished with no grants and very limited funds. To be able to demonstrate to the horticultural industry the potential funding is sought to rent the key components, manufacture the required toolbar and fit it all on a tractor to demonstrate how a selective robot could work in a realistic practical situation.      Aims and Objective: To replace manual operations in horticulture with automated processes that can replace the hand/eye co-ordination of a human operator. Initial objective To demonstrate the integrated use of images from a 3D camera enabling a robotic arm to respond to specified crop dimensions. The vision guidance system will be demonstrated by its ability to detect the size and shape of broccoli heads and control a robot to select heads that fall within specified dimensions.   Benefits to Industry: The labour cost for manual handling of ornamentals and harvesting of edible crops is a large proportion of total costs in many horticultural businesses. Potential labour shortage or unavailability is a major risk factor for many businesses. Automation of the processes would reduce risk and cost and make businesses more competitive. The benefits go beyond the saving of labour costs. For example if processes are automated they can take place at night when temperatures are lower, thereby reducing refrigeration costs and improving shelf life and product quality. The Brassica Growers Association has identified development of an automated harvester as one of their top priorities. By inviting selected growers from all sectors of horticulture to a demonstration the potential of the technology to develop for different uses can be maximised."	"146"	"Wilson, Andy"	"-1"	"-1"	"Vegetable Harvesting Systems"
"CP 136"	"Diagnostic: Development of Oomycete LFDs"	"http://horticulture.ahdb.org.uk//project/diagnostic-development-oomycete-lfds"	"2015"	"2018"	"Project summary: In years one and two of the project, oomycete disease management tools will be developed for use on-site and by crop clinics for the effective management of oomycete diseases.  Several approaches will be used:   A multiplex on-site test will provide generic probes to confirm the presence / absence of Pythium and Phytophthora in horticultural samples. If confirmed, the test will if present identify species / groupings considered pathogenic across crop sectors (Hardy Nursery stock, Protected Ornamentals, Protected Edibles and Soft Fruit). An additional test will be made available for the measurement of oomycete presence and viability for efficacy tests of disinfestation treatments such as chlorination, Pasteurisation, UV or slow sand biofiltration systems.   A crop clinic test will measure and discriminate Pythium and Phytophthora species commonly found to be pathogenic across UK-wide horticultural crop production systems. The crop clinic test will also provide information on the presence of mycoparasitic Pythium species (e.g. Pythium oligandrum, P. nunn) which may be important in biological control studies / precision application of treatments.    Sampling procedures and translation of the test result will form a priority within the project. A key driver will be for the uptake of these tests by the industry to inform cohesive disease management strategies.  It is recognised that the test formats must deliver results in an accessible way that growers can readily interpret in terms of the disease implication for the cropping system involved. A strong grower / science based interface will therefore exist within four identified HDC sectors: Hardy Nursery stock, Protected Ornamentals, Protected Edibles and Soft Fruit. This cross-sectoral industry-focussed approach will operate throughout the life of the project. Digital media (for example You Tube Clips) will provide longevity and ease of access to information on test usage and interpretation.    Throughout the life of the project comparison with current practice under field and clinic conditions will be used to evaluate and, where appropriate, validate the new tests developed.   Aims and objectives:   Project aim: To produce on-site, and laboratory tests which can be used to accurately monitor infective propagules of oomycetes in environmental samples (i.e. plants, growing media and water). The tests will operate in a multiplex format to identify oomycete presence and then specifically the pathogenic species / groups involved or propagule viability. The latter test (oomycete presence and viability) will be used in both on-site and laboratory confirmatory tests for the efficacy of disinfestation treatments, especially for water but also for growing media and circumstances where sterilants have been deployed to avoid or control disease outbreaks.   The on-site kits will provide simple, robust and inexpensive testing for early detection of oomycete fruit, root and collar rot pathogens by growers and consultants. Development of laboratory processes will enable plant clinics to provide high throughput screening of environmental samples (to include plant material). There will be capability to measure Pythium and Phytophthora to species level and to differentiate between mycoparasitic (potential biocontrol agents), non-pathogen saprobe and crop specific pathogenic species. Application of these tests will be developed for their integrated use within disease avoidance management and control systems. Commercial ‘do it yourself’ test kits would be made available at the end of the project to the UK horticulture industry. To encourage industry uptake of the technology UK-wide ‘hands-on’ workshops will be run during Years 2 and 3 of the project. Web-based visual media will be made available to assist industry understanding of the test applications, test operation and interpretation of results with respect to management of disease. Technology developed in this project will greatly enhance the capacity for accurate and rapid assessment of samples, especially water, and will be applicable to fundamental epidemiological studies and thus facilitate longer-term improvements in cultural practice.   Project objectives: A)  Develop inexpensive on site antibody-based diagnostic tests to measure in a multiplex format oomycete presence (Pythium and Phytophthora) and when present key crop-specific oomycete pathogens: Produce antibody probes with reliable genus specificity to Pythium and Phytophthora Produce monoclonal antibody probes to key plant pathogen clade groupings within the Phytophthora genus, selected for their relevance to UK-wide horticultural production, and in some instances to specific commodities, providing a panel of probes of industry-wide application. The antibodies would be raised to the following representative species:   P. cryptogea, P. cactorum, P. fragariae. Produce a similar representative panel of monoclonal antibody probes to plant pathogen clade groupings of Pythium species. These would not be limited to but include:  P. aphanidermatum, P. deliense P. debaryanum, P. sylvaticum, P. irregulare, P. intermedium, P.ultimum and P. splendens   B)  Develop an on-site test to differentiate between viable and non-viable oomycete propagules. This approach is essential for effective confirmatory efficacy tests for disinfestation treatments as a generic probe for viable oomycete propagules can test efficacy even when pathogen spores are not present because there are a large number of commonly-found oomycetes in water and growing media that should be removed by effective treatments in the same way as pathogenic species and can thus be used as indicators. Produce antibody probes with reactivity to commonly isolated waterborne oomycetes  (Pythium, Phytophthora, Saprolegnia and Aphanomyces) Identify and by recombinant protein sequence expression produce and isolate an external protein complex associated with oomycete zoospore viability. Develop a monoclonal antibody probe  to the protein complex for   test development to discriminate and measure viable  oomycete propagules (Pythium Phytophthora, Saprolegnia, Achlya and Aphanomyces species) in environmental samples   C)  Develop, using existing published molecular sequences, a MAGPIX DNA-based ELISA array. This test format would be for plant clinic use to measure and discriminate key Pythium and Phytophthora species associated with UK horticultural production. This would include the measurement of mycoparasitic species for application within biological control programmes. The test format would be transferrable to a membrane hybridization macro array.   The developed antibody probes (A) would also be evaluated for use in a simple ELISA format for use by crop clinics to differentiate between and quantify species present in a sample.   D) Provide strong cross-sectoral industry presence for uptake of the tests developed in A, B and C. Ensure that the applications, strengths and limitations of each test are well understood within the horticultural industry. This would include knowing when samples are best sent away for more detailed laboratory assessment and what might be reasonably gained from this. Develop a media support (you tube style clips, understanding the test, the application it is suited to and implication of test results) to provide technical assistance with test applications post project completion.   Benefits to industry: Reliable and affordable detection and diagnosis are key to effective oomycete disease management. With increasing globalization, travel and the international trade in plants the risk of disease spread through inadvertent introduction is exacerbated.   There is a reduction in broad spectrum fungicides which hold approval for use in the Horticulture Industry. Despite the development of the ‘off-label’ system for minor uses the number of pesticides that are currently approved for use on horticultural crops is under ever-increasing pressure. To utilise these efficiently and with optimal disease control performance there is a move away from routine pesticide application to targeted crop treatments (pesticides and biological) based on regular monitoring. This requires a greater depth of knowledge by producers and their staff to identify problems quickly. The ability to quickly diagnose many plant pathogens does not exist and simple, accurate, diagnostic tools for growers should be developed.   Pathogen detection prior to infection or the development of symptoms invariably improves the efficacy of timed control measures and can significantly reduce disease epidemics and control treatment inputs.   This project provides considerable scope for benefit in terms of early detection (i.e. ahead of symptom development and possibly even widespread infection) and targeted treatments (sanitization programmes, biological and/or chemical control). The predictive deployment of control measures will provide disease control systems that are sustainable with the use of lower-input farming systems Ultimately, financial benefit will be gained through improved quality and improved control procedures. The introduction of tests will also assist disease certification schemes.    As part of the Sustainable Use Directive (SUD) http://ec.europa.eu/food/plant/pesticides/sustainable_use_pesticides/index_en.htm from 1st January 2014 growers are required to demonstrate that they have taken alternative IPM e.g. cultural and biological, measures to prevent pest & disease development before considering and to help justify conventional spray applications of insecticides and/or fungicides. The use of predictive tests will provide a significant step forward and help minimise the need for pesticide intervention.   To provide industry understanding of the test formats and, their use for improved oomycete disease management strategies, the following approaches will be employed:   Regular visits (four times per annum) to identified nurseries/production facilities within each of four cross-sectoral areas. Cross-sectoral workshops (to include ‘Hands on’ in Year 3) would run annually and throughout the life of the project. These will provide the industry with a background to oomycete diseases an understanding of the test formats and their use for improved oomycete disease management strategies.   Web based visual media will be developed and made available to assist UK industry understanding of the test applications, test operation and interpretation of results with respect to disease management. Technology developed in this project will be applicable to other diseases and  fundamental epidemiological and disease management studies "	"146"	"Wakeham, Alison"	"-1"	"-1"	"University of Worcester"
"CP 107d"	"Development of a Horticultural Soil Management Information System (SMIS)"	"http://horticulture.ahdb.org.uk//project/development-horticultural-soil-management-information-system-smis"	"2015"	"2018"	"Summary:Cranfield University, with an impressive record in soils research and management, including ongoing support for the UK Land Information System (LandIS), will integrate soils data from a variety of sources, (including data from other projects) and many horticultural business to provide a single, coherent, robust, empirically-based, best-practice guidance and the likely consequences of applying them for a variety of uses.  To do this, we need to know whether soil management interventions can restore and even enhance soil and what practices can lead to optimum outcomes, with associated benchmarking. The primary aims of this project are to: a)     Develop a Soil Management Information System (SMIS) to hold, manipulate and represent available sources of data pertaining to the specific effects of soil management practices on horticultural crop productivity and environmental protection and allow evaluation of soils in their rotational contexts. b)     Implement outputs from the SMIS such as an ‘e-Guide’ toolkit, permitting AHDB-Horticulture and its growers, agronomists and land managers access to guidance and information on evidence-based, optimal soil management practices for horticulture. The SMIS will be populated with data from current AHDB-Horticulture sponsored soil projects, from the scientific and grey literature, from ‘live’ grower generated data and also key land and environment data to which the team has unique access through LandIS and the Scottish National Soils database. The grower generated soils data will be collected from vegetable industry and other project partners but will also be proactively sought including that from fruit and some field ornamentals crops. All data will be anonymised. Industry partners are being directly consulted, in the first instance contacts have been setup up for a range of producers including leafy salads and herbs, speciality veg, red beet, Brassicas, asparagus, outdoor cucurbits, carrots & parsnips and sweetcorn. There is a strong input from the vining pea industry via PGRO who will be supplying their soil survey data collected from growers.   Objectives: I. Resource review to determine the data requirements, sources, and appropriate template/formats for data inclusion in the ‘Soil management Information System’ (SMIS). A review of existing soil information management approaches will be conducted. (mainly Year 1) II. Data collation - undertake a substantive data gathering exercise, focussing on the soil system and horticultural crop best management practices, drawing on literature, and reported case studies. A key concern is the need to preserve anonymity in the data and these will be addressed. A coherent common framework of data will be assembled for inclusion within SMIS and rationalisation will allow combination of these data with other existing national thematic datasets (e.g. soils data from Cranfield’s ‘LandIS’ and James Hutton Institute’s Scottish soils database) to produce coherent data coverage and representation, (Years 1 & 2). III.Building the Soil Management Information System with ability to hold, manipulate, validate and manage data to provide information on the benefits of soil management practices on horticultural crop productivity and environmental protection. Will also capture policy-oriented and best-practice guidelines. The computing environment will be used to hold, manipulate and manage the datasets, use analysis tools and ultimately the e-Guide and other outputs, (Years 2 & 3). IV. Development of analytical methods and statistical modelling, drawing across the body of data assembled, allowing comparative assessment and benchmarking against available grower and case-study data. This analysis will enable the provision of information as to how current soil management practices affect soil across a wide range of horticultural crops, (Years 2 & 3). V. Implement a dissemination ‘e-Guide’ toolkit, permitting stakeholders such as growers, agronomists and land managers access to guidance and information on evidence-based, optimal soil management practices and to inform future decisions on soils research and KT. This will allow consideration of the effects of different cultivation methods within different rotations identified for a set of given soil types (from SMIS or input directly by the user) and climatic zones (Year 3).  "	"146"	"Rickson, Jane"	"-1"	"-1"	"Cranfield"
