project__PROJECT_NUMBER,project__AGENCY_FULL_NAME,agency_index__aid,project__PROJECT_OBJECTIVE,project__PROJECT_TITLE,project__PROJECT_START_DATE,project__PROJECT_END_DATE,investigator_data__name,institution_data__INSTITUTION_NAME,institution_data__INSTITUTION_CITY,states__states_abbrv,institution_data__INSTITUTION_STATE,institution_data__INSTITUTION_COUNTRY,institution_index__inst_id,investigator_index__inv_id
1R21AI099339-01,National Institute of Allergy and Infectious Diseases,22,"Listeria monocytogenes (Lm) is a gram-positive, food-borne facultative intracellular bacterial pathogen that infects humans and causes disease following bacterial translocation across the intestinal barrier. While healthy individuals usually exhibit mild forms of disease such as gastroenteritis, individuals who are immune-compromised as well as elderly patients often suffer more severe forms of illness that include meningoencephalitis and septicemia. A significant but much less well-documented sequelae of invasive Lm infections involve the heart; this type of infection is estimated to occur in at least % to 10% of those with invasive disease. Recently published data indicates that significant subpopulations of Lm strains have the capacity to target and invade cardiac cells; this is a new finding with important clinical implications. Experiments outlined within this proposal will test te hypothesize that cardioinvasive Lm strains have developed novel mechanisms and/or express novel or altered bacterial factors that enable them to replicate within cardiac tissues. These studies will provide a detailed understanding of the pathogenesis and maturation of myocarditis resulting from Lm infection, and will clarify bacterial factors that contribute to specific host tisue tropisms. Aim 1 will decipher the pathology of Lm cardioinvasive strains in animal infection models. Bacterial infections will be monitored in mice using in vivo bioluminescence imagining to determine the progression of cardiac infection as well as the potential for bacterial colonization at other body sites. Experiments will also include the histological examination of target tissues to characterize sites of host immune cell infiltration as well as the use of immuno-spin capture technology to definitively identify cellular damage that occurs as a result of the hos inflammatory response to Lm infection. Aim 2 will focus on the functional characterization of bacterial factors associated with invasive cardiac infections. Genetic and cellular approaches will be used to identify Lm factors that enhance cardiac invasion relative to the invasion of other  cell types. The ultimate goal of these studies will be to establish and functionally characterize a  cardiac model of infection for Lm and to determine the bacterial factors that contribute to the enhanced ability of selected Lm strains to invade and destroy cardiac tissue. This information will be useful for the early identification of Lm outbreak strains that pose increased risk for patient heart infections. Finally, the experiments outlined in this proposal will provide important  insight into the mechanisms that establish bacterial tropism for specific host tissues and in addition will identify in vivo cellular targets of oxidative damage resulting from host inflammator responses to infection.          PUBLIC HEALTH RELEVANCE: It has recently been demonstrated that a significant sub-population of strains of the food-borne bacterial pathogen Listeria monocytogenes have the capacity to target and invade cardiac cells. Experiments described within this proposal will define the bacterial factors that enable L. monocytogenes to invade and replicate within cardiac cells, a host niche not previously associated with L. monocytogenes infection. These studies will provide not only a detailed understanding of the pathogenesis and maturation of myocarditis resulting from L. monocytogenes infection, but will also generate a means of identifying outbreak strains that place exposed individuals at increased risk for cardiac infections.",Defining Mechanisms Underlying Listeria Monocytogenes Cardiac Infections,2012,2014,"Freitag, Nancy Elizabeth",University of Illinois At Chicago,Chicago,IL,17,1,-1,1462
5U01AI078023-05,National Institute of Allergy and Infectious Diseases,22,"Staphylococcal enterotoxin B (SEB) is a prototype enterotoxin produced by many isolates of Staphylococcus aureus. SEB causes polyclonal activation of T lymphocytes resulting in massive release of pro-inflammatory mediators and culminating in severe toxic shock. SEB is considered by the Centers for Disease Control and Prevention (CDC) as a category B select agent. SEB is also a major cause of food poisoning and toxic shock syndrome. Currently, there are no therapeutics available against SEB for human use. This proposal is aimed at preclinical development of fully human therapeutic anti-SEB monoclonal antibodies (hMabs). By using a human combinatorial antibody library and a phage display approach, a cohort of fully human antibodies against SEB were identified. Preliminary characterization has led to the selection of eight clones for pre-clinical testing and evaluation. Several of these hMabs displayed neutralizing activity towards SEB. The research plan is designed in 4 Specific Aims. In Aim 1, lead hMabs with neutralizing activity against SEB intoxication and other related superantigens will be identified based upon extensive studies using in vitro proliferation assays and an in vivo mouse model of SEB intoxication. Therapeutic efficacy of the lead hMabs will be determined within Aim 2 in a mouse model of SEB-induced toxic shock to identify a short list of lead therapeutics. In Aim 3, the lead therapeutic antibodies will be subjected to affinity maturation, if necessary, by using a proprietary mutagenesis technology that will result in a second generation of optimized anti-SEB hMabs. Therapeutic candidates will be biophysically characterized. The optimized hMabs will be tested within Aim 4 via a humanized transgenic mouse model and rhesus aerosol challenge model for toxic shock to identify the final preclinical therapeutic candidate against SEB intoxication. The envisioned clinical applications of the developed antibody will be both prophylactic to provide passive immunity to individuals at high risk via an imminent bioterror attack, and as a therapeutic antidote for treatment of individuals already exposed to SEB. This proposal brings together expertise from Integrated Biotherapeutics Inc, the US Army Medical Research Institute of Infectious Diseases (USAMRIID), Biocon, Inc., as well as MorphoSys AG and its subsidiary AbD-Serotec, in anti-toxin therapeutic development, animal studies with biothreat agents, and a novel proprietary technology for development of fully human antibodies.",Therapeutic Human Monoclonal Antibodies Against Staphylococcal Enterotoxin B (SEB,2008,2014,"Aman, M. Javad","Integrated Biotherapeutics, Inc.",Gaithersburg,MD,25,1,-1,3847
5U01AI090727-03,National Institute of Allergy and Infectious Diseases,22,"Food allergy (FA) is a growing clinical and public health problem in the U.S. and worldwide. The major obstacle in preventing and treating FA has been our incomplete understanding of its etiology and biological mechanisms. FA is believed to be a complex trait and determined by multiple environmental and genetic factors. A positive family history is a well-recognized predictor of allergic diseases. Our published and preliminary data underscore the important roles of genetic factors in FA. This proposal is a natural extension of our ongoing genome-wide association study (GWAS) of FA, which includes 1,000 Caucasian FA case-parents trios from Chicago. Genotyping was performed using the lllumina HumanOmni1-Quad BeadChip. Preliminary results from the GWAS are encouraging. This proposal will accomplish the following aims by utilizing two large, well-phenotyped study cohorts enrolled in Chicago and Boston, which were designed for large-scale molecular genetic epidemiologic studies of FA using a standard data collection protocol. Aim 1A. Confirmation study in an independent Caucasian sample: We plan to genotype promising SNPs/copy number variations (CNVs) identified from the GWAS and perform joint analysis in an independent sample of 1,200 Caucasian children using a case-control design: 600 Caucasian FA cases and 600 matched non-allergic controls from Chicago. Aim IB. Replication Study in a Multiethnic Sample: For those SNPs/CNVs that have reached genome-wide significance (p<10-7) in the joint analysis from 1A, we plan to further genotype and test genetic association in an independent sample (n=1,800) using a nested case-control design: 600 FA cases and 1,200 matched non-allergic controls identified from the Boston Cohort. Of those, two thirds are African Americans and one third are Caucasians/Hispanics. Aim 2. Fine Mapping to Search for Causative Variants: Based on the findings in Aim 1A and 1B, we will proceed to the discovery of novel SNPs/CNVs in the promising regions, by focused genotyping and association testing in the combined samples (n=6000 subjects), including the 1,000 FA trios and 600 FA case-control pairs from Chicago (n=4200) and 600 FA cases and 1200 controls from Boston (n=1800). This proposed study will be the first large-scale Post GWAS of FA in multi-ethnic U.S. populations. It has a high likelihood of success given the strong preliminary data, unique resources, and the team's track records. Findings from this study may transform our understanding of the causes of FA and inform future studies.      PUBLIC HEALTH RELEVANCE (Provided by applicant):   Food allergy (FA) is a growing clinical and public health problem in the US and worldwide. The central focus of this proposal is to further replicate promising genetic variants identified by the ongoing genome-wide association study (GWAS) of FA and to search for causative genes of FA. This will be the first large-scale post GWAS of FA in multi-ethnic US populations. Findings from this study may help understand the causes of FA and eventually help develop effective strategies for prevention and treatment of FA.",Post Genome-Wide Association Study Of Food Allergy,2010,2015,"Wang, Xiaobin ",Johns Hopkins University,Baltimore,MD,25,1,97,3820
5U19AI070235-07,National Institute of Allergy and Infectious Diseases,22,"Eosinophilic esophagitis (EE) is an emerging worldwide food allergic disorder associated with significant  morbidity and polysensitization to multiple food allergens, resulting in chronic gastroesophageal reflux  disease (GERD)-like symptoms and greatly restricted diets in many individuals. We have made the  observation that the mRNA and protein for desmoglein (Dsg) 1, a major protein involved in forming epithelial  junctions through desmosomes, is markedly downregulated in EE, and its expression remains decreased  even following treatment-induced disease remission. Furthermore, we have preliminary evidence linking EE  susceptibility with SNPs within the Dsg1 gene. It is remarkable that mutations of Dsg genes and  autoanfibodies against Dsg proteins have been associated with squamous epithelium disorders that  sometimes include esophageal pathology and features commonly seen in EE (e.g. epithelial erosion, dilated  intracellular spaces (DIS), and eosinophilic infiltrates). Taken together, we propose the central hypothesis  that Dsg1 is specifically involved in EE disease pathogenesis and susceptibility. We are well positioned to  answer key questions concerning EE based on a multi-faceted approach including: (1) an extensive  databank of samples from well-characterized EE and control patients; (2) newly developed systems for  culturing and manipulating esophageal epithelial cells in vitro and ex vivo; and (3) our ability to validate Dsg1  genetic linkage using replication cohorts of EE patients and parent offspring trios, as well as our ability to  test genotype/phenotype relationships using our EE sample databank. Accordingly, we will study the  following three Aims. In Aim 1, we will examine Dsg1 expression and regulation in esophageal epithelial  cells. In Aim 2, we will assess the function role of Dsg1 in the context of EE. And in Aim 3, we will examine  the association between EE and variants of the Dsg1 gene. These experiments fit into the general theme of  the U19 as they examine the role of epithelial cells and their gene products in the pathogenesis of atopic  disorders.",Role Of Desmoglein-1 In Eosinophilic Esophagitis,,,"Rothenberg, Marc E.",Cincinnati Childrens Hosp Med Ctr,Cincinnati,OH,41,1,-1,1491
5R01AR041256-21,National Institute of Arthritis and Musculoskeletal and Skin Diseases,105,"Atopic dermatitis (AD) is a pruritic chronic inflammatory skin disease associated with significant morbidity and occupational disability affecting 17% of children and nearly 2% of adults in the U.S. Studies have highlighted the importance of S. aureus infection, colonization and toxin production in AD severity/exacerbation.  The overall goal of this competing renewal R01 grant application (5 R01 AR41256-18) will be to determine how colonization with toxin producing S. aureus in AD patients alters inflammatory response in the skin. As well, we wish to investigate novel mechanisms by which Th2 environment in combination with toxin production by S. aureus enhance skin inflammation. Our previous studies of staphylococcal superantigens primarily focused on mononuclear cell activation by these toxins in the skin. New preliminary data show that staphylococcal superantigens (staphylococcal enterotoxin B, SEB) also exert effects directly on keratinocytes and contribute to the skin inflammation by inducing proinflammatory and Th2 cell skin homing chemokines. Global gene expression profiling of SEB stimulated human keratinocytes demonstrates protease activation by SEB and suggests that SEB may enhance allergic skin sensitization due to changes in extracellular matrix that can affect allergen absorption and inflammation, which we will explore in this proposal. We present evidence for Th2 cytokine potentiation of keratinocyte responses to SEB and propose that this occurs either through synergism with SEB induced pathways and/or increased expression of a specific receptor to SEB, therefore amplifying inflammatory responses in atopic skin. Finally, we demonstrate that staphylococcal pore forming alpha-toxin, that often coincides with superantigen production by S. aureus, can potentiate responses to staphylococcal products by facilitating their intracellular entry via toxin-induced pores, thereby allowing the engagement of intracellular receptors. Th2 cytokines may increase alpha-toxin binding to keratinocytes, affecting pore formation and intensifying keratinocyte responses to staphylococcal products.  The specific aims of this proposal will be: first, to determine the effects of staphylococcal superantigens on inflammatory responses of keratinocytes, focusing on gene and protein expression profiling in superantigen activated human keratinocytes and skin samples from AD patients colonized with superantigen producing S. aureus, in vivo inflammatory responses and allergen absorption in murine skin following epicutaneous application of SEB; second, to explore the modulatory role of Th2 cytokines in responses to staphylococcal superantigens in the skin by analyzing changes in gene and protein expression in keratinocytes, assessing inflammatory responses to SEB in STAT6 transgenic mice, exploring signaling pathways engaged by SEB and Th2 cytokines, and defining the specific SEB receptor; finally, to investigate the immunomodulatory role of staphylococcal alpha-toxin in keratinocyte responses to SEB/other staphylococcal products. Studies will likely identify therapeutic approaches in the control of skin inflammation initiated by staphylococcal toxins and atopy.      PUBLIC HEALTH RELEVANCE:  Staphylococcus aureus has emerged as a worldwide pathogen that is rapidly increasing in prevalence and causing serious illness. The specific objectives of this study will be to determine the mechanisms by which staphylococcal toxins cause human skin disease particularly atopic dermatitis which is the most common cause of chronic skin disease in children and often persist into adulthood. Data from this grant may lead to more effective treatment strategies for this serious public health issue.",The Role Of Bacterial Toxins In Human Skin Disease.,1992,2015,"Goleva, Elena Leung, Donald Ym ",National Jewish Health,Denver,CO,7,1,1236,-1
5R01AI077780-05,National Institute of Allergy and Infectious Diseases,22,"Abstract GAS is a preeminent Gram+ bacterial pathogen causing a wide spectrum of diseases in the human host. While the common outcome of a GAS encounter is asymptomatic colonization or self-limited mucosal infection, the propensity of particular GAS strains to produce systemic infection in otherwise healthy individuals defines a capacity to resist host innate immune clearance mechanisms that normally function to prevent dissemination beyond epithelial surfaces. A clone of the GAS M1T1 serotype has spread globally over the last 30 years as the leading cause of invasive infections including necrotizing fasciitis. Our laboratory has adopted a multifaceted approach to understanding those GAS and host factors that explain the diverse outcomes of this important host-pathogen interaction, using the invasive M1T1 GAS clone as a model. Our methodology has coupled precise, targeted mutagenesis and heterologous expression of candidate virulence factor genes with in vitro, ex vivo and in vivo models of disease pathogenesis, including WT, knockout and human transgenic mouse lines. We hypothesize that the outcome of GAS infection is dictated by the action and regulation of these GAS virulence factors in response to selective pressures exerted by host innate immunity. In this proposal, we will define the repertoire of bacterial virulence factors that promote the shift of GAS M1T1 strains to an invasive disease phenotype in response to innate immune selection. In Aim 1, we will test a unique and extensive panel of isogenic M1T1 GAS virulence factor mutants for neutrophil resistance, invasive phenotype switching, and systemic infection in the humanized plasminogen mouse, defining those innate immune resistance factors necessary for systemic virulence. In parallel, we will constitutively express specific virulence factors to identify if any are sufficient to promote disease progression. In the complementary studies of Aim 2, we will use pharmacologic techniques and knockout mice to define those specific aspects of host innate immune defense that exert selective pressure on GAS M1T1 favoring the shift to invasive phenotype. In Aim 3, we will determine the contribution of specific M1T1 GAS virulence genes and invasive phenotype shifting on GAS fitness during epithelial cell interactions and mucosal colonization. In this fashion, we will identify the competing selective pressures faced by this obligate human pathogen during the different stages of its overall ecology. Finally, we will assess the robustness of our experimental model (Nat Med 2007) that acquisition of a phage ?M1T1Z encoding the DNase Sda1 was a sentinel evident in the epidemic of invasive M1T1 infection, promoting resistance to phagocytic clearance through evasion of neutrophil extracellular traps. The last Aim will be achieved by exploring ?M1T1Z transduction mechanisms, phage distribution in diverse M serotype strains in the U.S. and an area of high endemic GAS disease (the Australian Northern Territory), and studying the contribution of the phage to disease switching and invasive disease in non-M1T1 strain backgrounds. Project Narrative Group A Streptococcus (GAS) is a bacteria that is a leading cause of infections in humans of all ages, from simple &#191;strep throat&#191; to life-threatening &#191;flesh-eating&#191; infections and shock. Serious disease is an unusual outcome, as most people can acquire the GAS bacterium in their throat or on their skin without developing symptoms. We are studying the ways in which the GAS bacteria shifts from an innocent member of our normal flora to an invasive pathogen, using molecular genetic techniques, assays of immune function, and mouse models of infection.",GAS Switch From Colonizing Bacterium To Invasive Pathogen,2008,2014,"Nizet, Victor ",University of California San Diego,La Jolla,CA,6,1,-1,1588
5R01AI096169-02,National Institute of Allergy and Infectious Diseases,22,"The goal of this project is to generate robust, portable assay systems for the rapid detection of botulinum neurotoxin (BoNT) in clinical samples. Our objective is to detect active BoNT within a 45 min test time at a limit of detection that is at least 10-fold better than the current gold standard, the live mouse bioassay. BoNT is the most potent biological toxin known. When injected, inhaled or ingested in minute amounts, BoNT elicits flaccid paralysis in humans and other mammals. However, BoNT is also widely available and used as a medical drug for cosmetic and therapeutic purposes. The availability and potential abuse of BoNT products presents a real threat to public health, and is of great concern to our national security. Our approach is based on a bead-based prototype assay with a large immuno-sorbent surface area (ALISSA) that can detect attomolar concentrations of BoNT serotype A in complex biological matrices such as blood serum and liquid foods. The BoNT ALISSA is at least four orders of magnitude more sensitive than the live mouse bioassay and considerably faster, requiring only hours instead of days. It is also much more economical and doesn't require the use of laboratory animals. To establish proof-of concept and improve the BoNT ALISSA, we propose the following Specific Aims: 1. To generate affinity reagents for microcolumn-capture of BoNT serotypes A and B (including subtypes). 2. To engineer novel substrates for BoNT-triggered dual-step enzyme cascades with bioluminescent readout for use in the ALISSA. 3. To generate affinity reagents for BoNT ALISSA detection of serotypes C, E, and F. 4. To establish the BoNT ALISSA system for serotypes A, B, C, E and F at a state laboratory of the Biodefense Laboratory Response Network for preclinical data collection on samples of infant botulism. The long term goal of the project is to obtain regulatory approval for use of the microcolumn BoNT ALISSA as a diagnostic medical device in form of an Investigational Device Exemption. The anti-BoNT affinity reagents proposed here will be generated as recombinant antibodies in form of single chain fragment variables or antigen-binding fragments and mounted onto microaffinity columns that we place into the tips of disposable plastic pipettes. The columns will be capable of immuno-capturing BoNTs in complex matrices with high affinity and specificity. Bioluminescent substrates will be produced as genetically- engineered inactive versions of luciferases that are activated by BoNTs in the microcolumn-based ALISSA. The product of this research will be an easy to use kit of biochemical reagents and affinity pipette tips that will allow rapid, sensitive BoNT detection without the need for special laboratory equipment. Used as diagnostic tools, such kits should improve public health and enhance our national biodefense preparedness.",Diagnostic Assay Systems For Botulinum Neurotoxins,2011,2016,"Kalkum, Markus ",City of Hope/Beckman Research Institute,Duarte,CA,6,1,-1,5294
5R01GM081649-05,National Institute of General Medical Sciences,93,"The goal of this research is to elucidate the structure of the prion protein in its aggregated isoforms, and to elucidate the relationship between isoform structure and different types of prion diseases. Prion protein is the causative agent of many fatal neurodegenerative diseases of mammals. These diseases are characterized by the conversion of normal, monomeric prion protein (PrPC) to a misfolded conformational state that aggregates and accumulates as fibrillar plaques in the brain. Transmission of the disease can occur when one mammal ingests the infected tissue of another. When exposed to an infectious aggregate, normal PrPC takes on the misfolded conformation and the fibrils are thus propagated. Any treatment of a prion disease must prevent or abrogate misfolding/aggregation while not affecting normal PrP function. Hence, it is important to understand the structural differences between the PrP isofoms. High resolution structures of PrPC from many mammals have been determined by both NMR and X-ray crystallography. In contrast, the insoluble, fibrillar nature of the infectious form has hampered the elucidation of its structural details. However, numerous biophysical and spectroscopic studies suggest that the misfolded form contains a much higher proportion of &#191;-sheet than normal PrP, which is mostly a-helical/random coil. This work will elucidate the nature of the PrP subunit interactions in several forms of recombinant PrP by using two biophysical techniques: site directed spin labeling (SDSL) combined with electron paramagnetic spectroscopy (EPR) and site directed crosslinking combined with mass spectrometry (MS). The EPR experiments provide information on protein backbone dynamics, secondary, tertiary, and quaternary structure, distances between labeled residues, and the mobility of the label itself. The crosslinking experiments will confirm the structural information gleaned from EPR. PUBLIC HEALTH RELEVANCE  The elucidation of the details of the structure of prion fibrils will be of great value in developing treatments for prion diseases, which are fatal neurodegenerative diseases of mammals. These include Creutzfeldt-Jakob disease (CJD) and variant CJD, Gerstmann- Straussler-Scheinker disease, Fatal Familial Insomnia, and kuru (humans), scrapie (sheep), chronic wasting disease (elk, deer), and mad cow disease (cattle). Treatment of any prion disease must prevent or abrogate fibril formation while not affecting normal prion function; hence, it is important to understand the structural differences among the different prion isofoms.",Structural Characterization Of Prion Isoforms In Multiple TSE Diseases,2008,2014,"Mcguirl, Michele Ann",University of Montana,Missoula,MT,31,1,969,3876
5U45ES019342-03,National Institute of Environmental Health Sciences,25,"The utility industry forms the core of our energy infrastructure. The public depends on its services and rightly takes for granted that the electricity is always flowing. But with this service comes a number of public and occupational hazards. Workers suffer illnesses and injuries from exposure to spills or leaks of radiation, chlorine gas, PCB-contaminated oil, sulfuric acid, or potassium permanganate. Other hazards include:  electrocution, crushing from cave-ins during excavations, asbestos, mercury, arsenic, lead, cadmium and other heavy metals to name a few. We see UWUA members at work in everyday lives, but their work hazards go unnoticed. Similarly, the public hazards from the industry such as air and water pollution and catastrophic releases of toxins often are seen as everyday circumstances until there is a dramatic accident that draws our  attention to the utility industry, such as Three Mile Island. More often than not, a worker training is the first and only line of defense to either prevent or stem hazards in the workplace or the public.  Sometimes these invisible hazards break into full view as happened during the Kingston, Tennessee coal ash spill. The spill deposited about 5.4 million cubic yards of fly ash sludge into the Emory River and its environs destroying or damaging 26 homes with an expected cleanup cost $1 Billion (2). There are less spectacular hazards of coal-fired electrical plants' combustion by-products that are reported in the EPA's Steam Electric  Power Generating Point Source Category: Final Detailed Report:  The total amount of toxic pollutants currently being released in wastewater discharges from coal-fired power plants is estimated to be significant and raises concerns regarding the long-term impacts to aquatic organisms, wildlife, and human health that are exposed to these pollutants.(3) Even though the EPA has yet to classify coal ash as hazardous waste, they are applying their own hazardous waste standard to it. The Comprehensive Environmental Response, Compensations and Liability Act (CERCLA) is now used as the guiding standard for coal incident clean-ups. Additionally, the EPA has  determined that at least 44 other holding ponds across the United States pose a High Hazard to nearby communities (4).  Because coal fly ash sludge stored in holding ponds does not easily become airborne, it doesn't pose a severe health risk to workers. However, electrical generation workers can be exposed to dry coal ash that may become airborne in electrical generation facilities. Coal combustion by-products escape boilers that lack scrubbers. In the case of positive flow boilers, coal ash dust escapes through holes in the boiler and covers  everything around the boiler. This dry coal ash dust often contains inorganic arsenic, hexavalent chromium, mercury, and lead. When dry, this ash dust can contaminate workers through inhalation or ingestion, causing chronic health problems to exposed workers.  Utility workers are exposed to hazardous substances through a wide variety of venues. Like industrial workers they may be exposed to a broad array of hazardous chemicals that are used onsite during the manufacturing process (making electricity, purifying drinking water). Like construction workers, they may be exposed to contaminated soil during excavation/trenching operations to install, maintain or repair pipes or lines. Like  service workers they must go to industrial settings or other potentially hazardous sites to install, maintain or repair the equipment that distributes the product. Finally, like Emergency Response workers they are first responders to natural, man-made or accidental disasters to repair and to reestablish utility service.  Rationale for the training: Utility workers can be exposed to hazardous waste onsite at the generation plant; offsite in the transmission, distribution or collection system, servicing industrial and hazardous waste sites; or responding to a utility loss of service emergency. Onsite, large storage tanks of hazardous chemicals may leak and expose workers to toxins. In addition, pipes or valves that transport chemicals to treat water at  electrical generation or water purification may leak and expose workers to hazardous chemicals, including incompatibles, during maintenance and/or repair. Hazardous waste is stored at many generation plants, including spent nuclear fuel rods or slurry ponds containing chemical residue from scrubber purge, boiler blow down, metal cleaning wastewater, and miscellaneous cooling water, as well as coal combustion by-products.  Offsite, workers are exposed to unknown contaminants during maintenance or repair of underground pipes or lines. They can be exposed from toxins in the soil during excavation or, in the case of sewer workers, exposed to toxic industrial waste or medical waste in the line. Finally, utility workers are first responders to emergencies. They respond to emergencies both at their home location, as well as throughout the Nation at  pre-agreed geographical regions through Mutual Aid Pacts (MPAs) which send utility workers to repair all manner of utility service outages in the most disagreeable and dangerous conditions. Depending on the emergency, whether natural or man-made, utility service interruptions in highly dangerous chemical, petrochemical, refining, or other industrial sites, as well as hazardous waste cleanup sites, require utility workers, in  their role as first responders, to confront a variety of hazards while working to restore utility service.  The workforce of the utility industry is also in flux, which brings a different set of hazards. The industry is experiencing unprecedented changes due to former deregulation and restructuring. In addition to the reduction of workforce numbers over the years when new workers were not added to the workforce, we are now experiencing a crisis of an aging workforce. The average age of an energy utility employee is steadily rising;  since 1995 the number of industry workers aged 55 and older has increased 225%. (5) One major consequence of this has been the loss of experienced workers primarily through retirement and attrition, and with them, the loss of institutional memory of workplace health and safety. It is predicted that this loss will continue and accelerate, with an estimated 50% of the workforce retiring in the next 4 to 8 years (6). The remaining managers and workers struggle to adapt to a rapidly changing structure, while continuing to provide essential services such as power-grid infrastructure maintenance, electrical power distribution, sewage recovery and treatment, gas distribution, and water purification and distribution.  Training is now and will increasingly be essential to provide a safe and healthy workplace. That is why the UWUA has established the Power4America to partner with management to begin the process of ensuring the necessary training resources for these crucial years. Additionally we are reaching out to the community in anticipation of this need and will be conducting outreach health and safety training for prospective workers.  This training will help prepare these community members to work safely in these facilities once they are employed. We will focus our recruitment efforts on underserved members of the community surrounding our represented NRC facilities in the first year of the grant. If funded we will extend this training to other facilities nationwide in future grant years'.  Members ofthe UWUA occupy a wide variety of positions that compose the utility industry, including electricians, mechanics, steam operators, underground maintenance workers, overhead line workers, nuclear power operators (and other nuclear classifications), transformer personnel, painters, and office personnel.  UWUA members need training because their work environment exposes them to accidents and injuries due to exposure to hazardous substances. By the nature of the work, utility workers must move throughout their service areas, including waste disposal or industrial sites to maintain and repair their utility lines. Water, sewage, and electrical transmission and distribution workers must be prepared to respond to emergencies either at their own utility or through MPAs to an emergency in another locale caused by a natural disaster,  terrorist event, or accidental catastrophe. Whether onsite, offsite or in an emergency response situation, acute or chronic injury and disease associated with the clean-up of a hazardous substance release or an accidental release of radiation from spent fuel rods or toxic airborne coal ash waste, may chronically impair their health and that ofthe surrounding communities.  The Need: It is no secret that our infrastructure is in sorry shape. It is estimated that hundreds of billions of dollars are needed to rebuild our power lines, our water mains, and our gas pipelines. In the meantime, utility workers engage in reactive maintenance: they must deal with thousands of water main breaks, fallen powerlines and gas-line repairs, especially in the winter months. To deal with the massive weather emergencies like  hurricanes, tornadoes, and winter storms, utilities often borrow crews from each other in a mutual aid system.  It is very difficult and chaotic process but, for the most part, it has kept our electricity, water, and gas available to the public and the industry. It is during these emergency responses that utility workers come in contact with hazardous situations, depending upon the emergency they are responding to. New York Times reporter James Barron provided a small glimpse ofthe magnitude ofthe problem faced by utility workers when he was  describing an underground steam-pipe explosion caused by a nearby water main break. Two utility workers and a pedestrian were killed in this explosion and 24 others were injured. It's a jungle down there. Beneath the 23 square miles of Manhattan are 11 million miles of telephone wires, 19,000 miles of electrical cable,  6,000 miles of water mains, 4,000 miles of gas lines, 100 miles of cable television wires and 105 miles of steam pipes. (7)",Hazardous Waste Worker Training Program (HWWTP),,,"Devlin, John Dennis",Utility Workers Union of America,Washington,DC,10,1,-1,-1
2R01GM078221-06,National Institute of General Medical Sciences,93,"Antibodies play a critical role in the immune system for recognition of foreign intruders. Because of their excellent affinity and specificity, they hav also been exploited as therapeutic molecules and biotechnological components for sensing and assembly. Structures of antibodies in complex with their antigens can yield insight into biological  phenomena or drug and disease mechanisms. However, structures of antibodies and antibody-antigen complexes can be difficult, time consuming, and expensive to determine. The proposed research focuses on the computational prediction of the structure of antibodies and antibody-antigen complexes. Computational approaches are particularly important because the repertoire of antibodies in a human patient is far too large for complete structural characterization by experiment. Prior work has isolated the most critical challenges: most of the antibodies in the human repertoire have hypervariable CDR H3 loops longer than that which is predictable using current loop methods; backbone conformational uncertainty and flexibility confound current docking methods; and no current method can quantitatively predict antibody-antigen binding affinities from structure. Thus, the first three aims of the project are to (1) develop new methods  to predict the structure of long CDR H3 loops using statistics to identify likely &#191; turns, (2) develop flexible backbone docking routines using an expanded ensemble approach with a conformational web, and (3) develop methods to quantitatively predict protein-protein binding affinity using improved electrostatics treatments. Finally, the fourth aim will be to (4) use existng and proposed methods to predict structures of antibodies and antibody-antigen complexes for entire polyclonal antibody repertoires. Structures will be predicted for antibody repertoires determined from bone marrow plasma cells of mice immunized against ovalbumin (a food allergen) and enzyme C1s (a therapeutic target for autoimmune diseases and transplant tolerance). Ultimately, these studies will yield insights into immunology, molecular recognition, and design of protein-protein interfaces and vaccines.          PUBLIC HEALTH RELEVANCE: Antibodies play a critical role in the immune system for recognition of foreign intruders, and are excellent therapeutic molecules because of their high affinity and specificity. This project investigates computational approaches to determine the three-dimensional structures of antibodies alone and in complex with their target antigens, including specific applications relevant to food allergies and a treatment for transplant rejection autoimmune disorders and inflammatory diseases.",Prediction Of The Structure Of Therapeutic Antibodies With Their Antigens,2006,2016,"Gray, Jeffrey J",Johns Hopkins University,Baltimore,MD,25,1,97,87
