"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_index__inst_id"	"agency_index__aid"	"comment"
"FS102081"	"Total diet study of inorganic contaminants, acrylamide & mycotoxins"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102081"	"2014"	"2015"	"This TDS involves the purchase of 138 categories of foods, from 24 locations across the UK to give a total of 3312 individual samples. The 138 categories are then further pooled into 28 food groups. Sample preparation Each individual sample is firstly prepared for consumption (where required) based on information from the UK’s National Diet and Nutrition Survey and manufacturer’s preparation and cooking instructions. Equal quantities of the 24 individual samples in each category are then combined to form the category sample. The 138 categories are then further pooled into 28 food groups. The relative proportion of the different categories within a group reflects its importance in the average UK household diet. This is based on three previous years of food purchase data from the Family Food Survey (previously the National Food Survey). For instance, for the milk group, more semi-skimmed/skimmed milk is included than whole milk as it makes a larger contribution to the average diet. Sample analyses Both the 138 categories and 28 groups will be analysed for the following elements. Analysing both the categories and groups will allow much more specific information to be obtained than in previous TDSs. aluminium, antimony, arsenic (total and inorganic) barium, bismuth, cadmium, chromium, copper, germanium, indium, iodine lead, manganese mercury molybdenum nickel palladium, platinum, rhodium, ruthenium, selenium, strontium, thallium, tin zinc All groups will be analysed for acrylamide along with those categories in which it is expected to be present. Selected groups and categories will be analysed for a selection of 18 different mycotoxins, based on those foods in which they are expected to be present."	"The key principle of a TDS is that it is representative of the whole diet. A TDS is different from many surveys as all foods are firstly prepared for consumption, rather than being analysed as sold, before being pooled into groups before analyses. The total diet study is designed so that commodities known to be susceptible to contamination (eg offal, fish) are kept separate, as are foods that are consumed in large quantities (eg bread, potatoes, milk)."	"HallMark Meat Hygiene (Sampling) Food and Environment Research Agency (Analyses) Premier Analytical Services (Analyses)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102047"	"Analyses of cadmium, dioxins, furans and biphenyls in bovine meat and"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102047"	"2013"	"2014"	"Samples of muscle, liver and kidney were taken from 147 cattle in slaughterhouses throughout the UK. The samples were split between three different age groups: 48 cattle aged less than 30 months 51 cattle aged between 30 and 72 months 48 cattle aged over 72 months All samples were analysed for cadmium and other elements of interest (lead, arsenic, copper and selenium) using inductively coupled plasma-mass spectrometry (ICP MS). From this, 25 of the muscle and 25 of the liver samples (paired meat and liver from the same animal) were analysed for dioxins, furans and biphenyls using high resolution gas chromatography-mass spectrometry (GC-MS)."	"Recent studies carried out in other European member states have reported higher concentrations of cadmium in kidneys from older animals, with some samples above the EU maximum limit of 1mg/kg. This is because cadmium can build up in tissues such as the liver and kidneys over the animal’s lifetime. This data will provide information on the current situation in UK cattle."	"Food Standards Agency (sampling) Food and Environment Agency (Analyses)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241029"	"EU FP7 PROMETHEUS project"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs241029"	"2011"	"2014"	"The aims of the PROMETHEUS project were: to understand the reactions involving food components that form toxic contaminants to provide methods to monitor online, in real time, indicators of these reactions and produced contaminants to develop alternative processing technologies limiting contaminant formation while maintaining food safety and sensorial acceptance to demonstrate satisfactory upscaling of the new technologies to the industrial level Food models (infant formulas, biscuits, canned baby foods, and canned fish and vegetables) have been selected for their nutritional relevance to the consumer, especially infants and children. Processing contaminants (acrylamide, 3-monochloropropanediol esters, glycidol esters, furan, hydroxymethylfurfural and carboxymethyllysine) have been chosen for their toxicology and relevance to the food product and process. PROMETHEUS applied a novel holistic analytical approach of continuous real-time online monitoring of process contaminant formation during food processing. Ambient mass spectrometry, fluorescence spectroscopy and image analysis were used to measure the relevant contaminants, their precursors and some quality indicators simultaneously. Nutritional and sensorial indicators were measured for each of the food products. The data will allow modelling of the reactions that form contaminants and affect food quality. Innovative processing technologies used include: vacuum baking high hydrostatic pressure ohmic heating ingredient microencapsulation"	"PROMETHEUS stands for Process contaminants: mitigation and elimination techniques for high food quality and their evaluation using sensors and simulation. The PROMETHEUS consortium has eight research organisations and six industrial participants (including four Small and Medium Enterprises (SME), one large company and the European Confederation of Agro Food industries). The project outcomes will help to protect consumers by providing them with high quality ready-to-eat food products. It will improve the competitiveness of the food industry by anticipating future regulations on neoformed contaminants, and help it to innovate by implementing new technologies in order to better control the safety and overall quality of their products. The FSA provided direct ‘matched’ funding to the Food and Environment Research Agency (FERA) (one of the research organisations) to support their role in the project."	"FERA"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102077"	"An investigation of perchlorate levels in fruit and vegetables consumed in the UK"	"http://www.food.gov.uk/science/research/chemical-safety-research/fs102077"	"2013"	"2015"	"Levels of perchlorate will be measured in all samples of fruits, vegetables, milk and infant food collected during the period of the study. Where possible, samples of UK grown fruits and vegetables will be sourced directly on-farm and associated soil and irrigation water also sampled. The 300 foods to be sampled will comprise of a wide range of fruits, vegetables and other foods such as milk and infant food and will include: apples and pears strawberries, raspberries, blackcurrants, gooseberries and grapes oranges, lemons, limes, melons and watermelons beetroot, carrot, parsnip, potato and swede broad beans, peas, courgettes and cucumber broccoli, brussel sprouts, cauliflower and cabbage fresh herbs and celery milk (on-farm and retail)   infant food      "	"The study is concerned with gathering information and data on the presence of perchlorate in food, in particular, fruits and vegetables especially leaf vegetables, fresh herbs and celery grown in glasshouses and cloches. Perchlorate occurs naturally in the environment, in deposits of nitrate and potash, and can be formed in the atmosphere and precipitate into soil and groundwater. It also occurs as an environmental contaminant arising from the use of nitrate fertilizers and from the manufacture, use and disposal of ammonium perchlorate used in rocket propellants, explosives, fireworks, flares and air-bag inflators and in other industrial processes. Perchlorate can also be formed during the degradation of sodium hypochlorite used to disinfect water resulting in perchlorate contaminating the water supply. The perchlorate ion (ClO4 -) is very stable in water, and its salts are highly soluble. Water, soil and fertilizers are therefore considered to be potential sources of perchlorate contamination in food. The European Commission has previously issued a statement as regards the presence of perchlorate in food"	"Fera"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"C01048"	"Determination of phthalates in foods and establishing methodology to distinguish their source"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/c01048"	"2008"	"2009"	"Analytical methodology was developed and validated for 17 phthalate diesters, 9 phthalate monoesters, phthalic acid and total phthalates in foods. The methods were used to analyse Total Diet Study samples in order to to allow estimation of dietary intakes. A total of 29 retail samples were analysed to try and distinguish between food contact and environmental sources of phthalates. These samples were chosen to include foods likely to contain phthalates originating from both sources. A total of 261 retail food samples were also analysed to establish the ranges of phthalates in food."	"Phthalates are a group of compounds that are used as plasticisers and found in a wide range of consumer and household goods. Phthalates may be present in food due to migration from food contact materials, including processing equipment and packaging. However, they are also widespread and persistent in the environment and may therefore enter the food chain from environmental sources."	"Food and Environment Research Agency (FERA)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"C01050"	"Investigation into Mixed Halogenated Dioxins, Furans and Biphenyls in food"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/c01050mixedholgenateddioxins"	"2008"	"2010"	"Based on current methodology for dioxins and PCBs, which uses carbon fractionation followed by gas chromatography-high resolution mass spectrometry, the sample extraction and clean-up was adapted to ensure that the fraction containing the congeners of interest was clear of interferences and the detection parameters were optimised to achieve the necessary selectivity and sensitivity for detection of mixed halogenated congeners. The method was validated using the same criteria as for chlorinated dioxins and PCBs. Finally, it was be applied to a range of samples held from previous investigations or obtained specially to test the methodology. About 100 samples of fish, shellfish, meat, offal, eggs and dairy produce were tested for the presence of six mixed dioxins, seven mixed furans and six mixed biphenyls (all for which appropriate standards are available)."	"Mixed halogenated dioxins, furans and biphenyls can be formed during combustion when both bromine and chlorine are present. They have previously been reported in the environment but there have been no investigations for their presence in food. There are thousands of potential congeners, of which several hundred may be toxicologically significant, making their analysis very difficult. The purpose of this project was to develop and validate the necessary methodology and obtain the necessary laboratory standards with which to determine whether it is possible to detect mixed halogenated congeners in foods and to gain an indication of their prevalence compared with the ubiquitous chlorinated (and much less common brominated) equivalents."	"The Food and Environment Research Agency"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"C02085"	"Occurrence of brominated contaminants in selected foods"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/c02085"	"2007"	"2009"	"A subset of samples, predominantly animal derived products with higher fat content (as the compounds of interest are bioaccumulative and lipophilic), will be taken from the larger sample set collected for the perfluorinated compound survey (C02083). They will be analysed for polybrominated biphenyls (BPPs), polybrominated diphenyl ethers (PBDEs), hexabromocyclododecanes (HBCDDs), brominated dioxins and furans (PBDD/Fs) and tetrabromo-bisphenol A (TBBPA)."	"A number of brominated compounds or classes of compounds previously used as flame retardants have been identified as PBT- type POPs and banned (PBBs, penta and octa-PBDEs) and others are under review. Replacement compounds, notably HBCD, are now also being reported increasingly in foods. It is also becoming easier to measure brominated dioxins and furans, which are by-products of the combustion of BFR-containing materials and some of which are as potent as or even more potent than their chloro-analogues. At present the Agency has data only for TDS food groups and composite fish samples. Further data on occurrence in individual foods, particularly fish, meat and offal, is needed to assess consumer exposure."	"Fera"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102005"	"Geographical investigation for chemical contaminants in seafood collected from UK marine waters and coastline"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102005"	"2013"	"2015"	"A list of ‘higher risk’ species will be prepared. These will generally be oily fish and those that have been shown to contain raised contaminant levels in previous surveys. Samples will be collected during research vessel cruises and these will be supplemented by samples purchased at Billingsgate fish market (where information about the catch location is accessible). This is a two-year project and the first year will be used, among other things, to identify any sampling gaps or difficulties. Samples will be supplied to the Food and Environment Research Agency. They will be tested for the contaminants currently limited under Commission Regulation 1881/2006 as amended, notably heavy metals, dioxins and PCBs. Selected samples will also be tested for contaminants identified as emerging risks from other FSA research projects, or newly listed compounds and candidates for listing under the Stockholm Convention or Substances of Very High Concern under the REACH regulations. Examples include brominated flame retardants, new dioxins, perfluorinated compounds and polychlorinated naphthalenes. Where there is evidence for higher contamination in samples from specific locations, local circumstances will be examined for any contaminant sources that could be mitigated."	"Previous surveys for contaminants in fish and shellfish have generally been targeted at the retail level. Although non-compliances are rare, there is variability in contaminant levels even within the same fish species. Currently we have limited information about variability in background pollution levels in different locations and how they might impact on levels in seafood. Under the Marine Strategy Framework Directive, which aims to pull together a range of regulations, codes of practice, licensing systems and initiatives impacting on the marine environment, Good Environmental Status will be defined by a series of descriptors. Descriptor 9 (D9) states that food produced in the marine environment is safe for human consumption. This project will generate data to provide a baseline for D9. It will include contaminants under investigation as emerging risks as well as those that are currently regulated under EU legislation."	"Fera"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS513010"	"Carry out a mass balance for bromine compounds in food and feed samples.."	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs513010"	"2013"	"2015"	"Following discussion between the FSA project officer and the contractor, a plan will be prepared for the collection of about 300 food and 100 feed/feed ingredient samples. Foods/feed types that are suspected to contain a higher concentration of the known BFRs will be targeted (eg fish, shellfish, composite feed). These samples will be collected by the subcontractors and delivered to Fera. The samples will be analysed by ICP-MS for organic bromine content. Approximately half of the samples with the highest bromine content will then be analysed for PBDEs and Hexabromocyclododecanes (HBCDDs). This will be carried out using the same methodology as in previous investigations carried out by Fera for FSA (ie using internal standardization with carbon 13 (13C) labelled material, and where HBCDD stereoisomers will be measured by LC-MS/MS and GC-high resolution, and MS will be used for the PBDEs). Interim tables of results from these investigations will be provided as agreed with the FSA. The proportion of the summed HBCD and PBDE bromine content of the samples will be compared to the total organic bromine content of the samples. A selection of the samples with the highest discrepancies will be selected for further qualitative investigation. For this, purified extracts enriched by concentration will be subjected to sensitive and high resolution, time-of-flight (TOF) mass spectrometric techniques to investigate the identity of significant unknown compounds. New de-convolution software will be used to target typical isotope patterns of brominated compounds in conjunction with programmed identification procedures, using mass characteristics of known emerging/novel BFRs such as the new compounds identified by EFSA Scientific Opinion on Emerging and Novel Brominated Flame Retardants (BFRs) in Food . This would provide a more targeted approach to identifying unknown signals. The process would be controlled by the use of available BFR standards for some of the new BFRs, eg Bis(246-tribromophenoxy)ethane (BTBPE) and Decabromodiphenylethane (DBDPE)."	"BFRs are a group of chemical compounds added to furniture, textiles, electrical products and building materials to delay the onset and spread of fire. Due to their very widespread use, BFRs are everywhere in the environment and have entered the food chain. Older BFRs such as brominated biphenyls (PBBs) were banned in the 1970s due to health concerns and some of their more recent replacements, eg polybrominated diphenyl ethers (PBDEs), have been subject to restrictions due to environmental and health concerns. Replacement compounds are continually being introduced and, according to the most recent European Food Safety Agency (EFSA) opinion: Scientific Opinion on Emerging and Novel Brominated Flame Retardants (BFRs) in Food , there is a lack of safety and environmental information about these. Through this new investigation, the FSA hopes to gain a better understanding of what newer BFRs are entering the food chain."	"Food and Environment Research Agency (FERA), with sub-contractors Ventress Technical Services (food sampling)/ADAS (feed sampling)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102009-A"	"Investigation of the potential transfer and uptake of contaminants into food..chickens and pigs"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102009a"	"2013"	"2016"	"This project will investigate: transfer of persistent organic pollutants (POPs) from different types of recycled bedding to meat and eggs from chickens reared on recycled bedding transfer of POPs into meat and liver from pigs reared on arable land previously treated with waste-derived fertiliser or liming agent The poultry module will be carried out in a highly controlled environment within a Good Laboratory Practice facility. Three representative recycled bedding products will be selected and characterised to determine concentrations of established and emerging POPs. Four groups of broilers will be reared for about 45 days on each of the three types of waste-derived bedding and under control conditions. Meat, skin/fat and liver samples will be analysed for POPs. Similarly, four groups of egg-laying hens will be reared on the three selected recycled bedding materials and under control conditions. Eggs will be collected from weeks 16 to 20, and meat, skin/fat and liver samples will also be collected from each group of hens. For the broilers and the egg-laying hens, the concentrations of various POPs found in each group of test samples will be compared with the corresponding control samples and transfer factors for uptake from waste bedding to meat, liver, skin/fat and/or eggs will be estimated. Soil ingested by pigs reared outdoors is a source of contamination in meat and offal, so application of fertilisers containing contaminants could cause increased uptake of those contaminants by pigs reared on the treated land. For this project, an arable crop (eg barley) will be grown on four matching plots prior to rearing pigs on the land. Three of the plots will be treated with waste-derived soil conditioners (eg PLA, PSA, meat and bonemeal ash or biosolids) before growing and harvesting the crop and the fourth plot will serve as a control. Pigs will then be reared on each of these plots for about 20 weeks (ie until they are market-ready). Samples of meat and liver will be analysed and the levels of POPs present in tissues from each test group of pigs will be compared with the corresponding control samples. The transfer factors for the uptake of various contaminants by pigs from each type of waste-treated soil will be estimated."	"There is increasing pressure to minimize disposal of waste to landfill by recycling as much material as possible. Waste streams such as poultry litter ash (PLA) and sewage sludge (biosolids) are used as fertilisers on agricultural land, thus beneficially recycling scarce plant nutrients. Paper sludge ash (PSA) is an effective liming agent. Recycled waste wood shavings or shredded cardboard are increasingly being used as bedding for poultry and other livestock. However, these waste streams contain diverse chemical contaminants. These include various emerging organic contaminants, for which there is very little information concerning transfer to livestock exposed to recycled bedding or land amended with waste-derived soil conditioners. This project aims to: generate robust scientific evidence, that poultry kept on recycled bedding, or pigs reared on land previously treated with waste-derived fertiliser or liming agent, will not present a risk to food safety identify the level of control measures needed to protect the food chain"	"FERA, (contractor), University of East Anglia; Easton College (sub-contractor)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102042"	"Targeted investigations of acrylamide in food"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102042"	"2014"	"2014"	"This study will investigate the relationship (correlations) between declared recipe ingredients, processing (colour indicator), and acrylamide formed in retail biscuits. The aim of the study will be to determine whether a matrix model can be developed to predict a more appropriate subgroup for a given biscuit type for which a current ’indicative value’ might apply. The investigation will target approximately 60 biscuit samples from each of the main biscuit categories included in UK FSA Acrylamide surveys (2007 – 2013) such as digestive, rich tea, ginger, rye etc. Samples will be collected by Premier Analytical Services from local retail outlets and data from these products (acrylamide, ingredient etc.) will be subjected to multivariate analyses to determine possible trends and categories. If successful, this model will then be extended to data held from previous UK Acrylamide surveys (2007 – 2013) so that trends and comparisons can be made with a larger pool of data. It is anticipated that this investigation / model may be extended to other food categories, such as bread, at a later date."	"Acrylamide (AA) levels in biscuits can vary widely and amounts above 1000 µg/kg have been reported in some products. Free Asparagine (Asn) is believed to be the limiting or dominant precursor of AA formation in cereal products and therefore recipes that utilise cereals which are naturally high in Asn, such as rye, oats and wholemeal flours, may form more AA. Conversely, reducing or consuming Asn, eg by the addition of either an enzyme or yeast, or another microorganism to product recipes, can have a significant impact on the AA level generated during baking. The thermal conversion of Asn into AA is a multistep series of reactions, some of which are believed to involve reducing carbohydrates."	"Premier Analytical Services"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102073"	"Investigation of 3-APA in food and its relationship with acrylamide. Phase 1: Literature review"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102073"	"2013"	"2015"	"The initial review will address the following: the occurrence of 3-APA in foods and foods at risk the mechanism(s) of formation of 3-APA in foods and its relationship to acrylamide the toxicological potential of 3-APA with particular reference to acrylamide the likely impacts on consumer exposure to AA methods of analysis for 3-APA knowledge gaps and recommendations for further work It is anticipated that this review will provide the justification for a ‘Phase 2’ project concerning analytical investigations of key foods and the effects of processing on 3-APA / acrylamide."	"Recent studies have demonstrated that 3-APA is a transient intermediate in acrylamide (AA) formation from thermally induced Asparagine / carbohydrate systems. Furthermore, it may also be formed during the storage of foods by an enzymatic decarboxylation of Asparagine, and this mechanism may account for its occurrence in ware potatoes. The occurrence of 3-APA in foods is of concern because laboratory studies have shown that it can generate high levels AA (compared to Asn) when heated. Therefore, foods that contain 3-APA and are subjected to additional thermal processing might be considered as an additional source of AA."	"Premier Analytical Services"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS410016"	"Studies of the fate and behaviour of brominated flame retardants in domestic kitchens"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs410016"	"2013"	"2016"	"The objectives of this project are to investigate: concentrations of BFRs in kitchen dust and air BFR contamination of kitchen utensils the partitioning of BFRs between food and indoor air and dust Volunteer households will be selected from the local community. This approach has been successful on previous occasions. Analytical work will be carried out at the University of Birmingham or its academic partners. The project is mainly funded by the National Environmental Research Council and the Chinese Academy of Science. The funding contribution from the Agency will allow timely access to results and the opportunity to comment on the scientific approach."	"Brominated flame retardants (BFRs) are present in a wide range of products and materials including soft furnishings, building materials and electrical and electronic goods. A large number of scientific papers have been published on the migration of BFRs into the indoor environment in living rooms, bedrooms, schoolrooms and offices, and the consequent human (and domestic pet) exposure through inhalation and ingestion. However, there has been no similar work in domestic kitchens. BFRs are incorporated into large and small plastic kitchen appliances (dishwashers, fridges, food processors, toasters, kettles etc.), often in quite high quantities. Various textiles used in kitchens (curtains and blinds, chair coverings) will also contain BFRs, and generally it is not unusual for TVs and laptops to be used in kitchens. All of these are potential BFR sources and BFR-containing dust could settle on exposed food or be transferred to food during handling and preparation."	"University of Birmingham"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102035"	"Detection and identification of dioxin-like compounds"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102035"	"2013"	"2016"	"The differences sometimes observed between established screening and confirmatory analytical methods for dioxins and PCBs in food will be investigated, to examine whether ‘false positive’ signals in bioassays are due to a contribution from Ah receptor-binding ligands other than dioxins (eg related emerging contaminants) and may in fact better reflect the total dioxin-like toxicity in the sample. The project uses expertise of two of the foremost laboratories in this field – RIKILT, which has extensive experience of about a decade of using bio-analytical methods such as CALUX, and Fera, which is at the leading edge of emerging contaminant research and is the National Reference Laboratory for dioxins. The project will draw on expertise from both organisations to understand the differences that sometimes arise between methodologies with different scientific approaches. About 100 food samples will be measured for total dioxin-like activity, in duplicate, using established CALUX (and/or other bioassay techniques), in a range of samples considered likely to contain the highest levels of contamination with respect to these compounds (eg fish liver, oily fish, sheep, bovine and porcine liver and carcass meat, brown crab meat, duck eggs). Known dioxin-like compounds will be measured, and they will be quantified and compared with the total activity found from the bioassay measurements. Samples for which there is significant unaccounted activity will be further investigated to detect and identify the compounds responsible. The outcome of the study, including the methodology used and discussion of the findings, will be published in a peer-reviewed journal."	"Bioassay methods for measuring dioxins, based on aryl hydrocarbon (Ah) receptor-binding, have been available for some time. However, there have been reports that high results, for example in soil samples collected near waste sites, cannot be fully explained by the presence of chlorinated dioxins, furans and biphenyls. These are well characterised and have been widely measured and reported in food but there is increasing knowledge of brominated and mixed halogenated dioxins and biphenyls, as well as other classes of compounds, known or predicted to possess dioxin-like activity, for example polychlorinated naphthalenes and halogenated PAHs. In the Committee of Toxicity’s (COT) December 2006 opinion on the revised World Health Organization toxicity equivalent factors (WHO-TEFs) for chlorinated dibenzodioxins/furans and dioxin-like polychlorinated biphenyls (PCBs), the COT referred to the need to investigate other dioxin-like chemicals."	"Fera"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS231031/FS231003"	"4-year surveillance for mycotoxins – sampling and analysis"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs231031fs231003"	"2008"	"2015"	"The sampling was the first part of an interdependent project which provided retail samples available to UK consumers comprising of a variety of foods to support the final year of a four year surveillance programme investigating the occurrence of mycotoxins in foods. Each sample collected consisted of packs/loose quantities of the same product to give a total of 1.5kg/ litre for each sample. Documentation for each sample provided a clear audit trail that was verified by relevant details recorded on an Excel spreadsheet. Relevant sample information has been transferred to an EFSA formatted database. Premier Analytical Services analysed 400 samples for citrinin (100 samples), alternaria toxins (100 samples), fumonisins (100 samples), sterigmatocystin (100 samples) and ergot alkaloids (100 samples) depending on the likelihood of contamination. Any samples with mycotoxins above the agreed action limit were reported within 1 working day of the initial result by telephone or e-mail, giving full details of the sample and result. The initial result was confirmed subsequently by further analysis and reported in full to the FSA by e-mail once the result had been confirmed. The data collected from the survey was submitted to EFSA as part of their continuous call for data on mycotoxins. The data was also placed into an FSIS Food Safety Information sheet which can be found at the bottom of this page. This provides valuable evidence when negotiating new MLs at Commission working group meetings."	"Mycotoxins are naturally-occurring chemicals produced by certain fungi. Some of these mycotoxins have been associated with a variety of adverse human health effects, and are regulated within the European Union to minimise consumer exposure through food. Mycotoxins can occur in a wide range of foods, including cereals, nuts, spices, fruit, coffee, milk and alcoholic beverages, and at any stage throughout the food chain. The Food Standards Agency commissioned a four-year rolling surveillance programme to quantify a number of mycotoxins in a variety of foods. The aims of this surveillance programme were: To protect consumer safety; To assess the effectiveness of current legislation and Codes of Practice; To facilitate informed negotiations in Brussels and at other international meetings on both current and proposed policy; To enable consumer exposure assessments to be made; To identify emerging areas of concern, for example identification of mycotoxins for which there is limited occurrence data or foods not previously recognised as commodities affected by mycotoxins."	"Ventress / Premier Analytical Services"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102009-B"	"Investigation of the potential transfer and uptake of contaminants into food..dairy cows, carrots and cereal."	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs102009b"	"2014"	"2016"	"Representative batches of waste materials including biosolids, waste wood shavings, PSA, PLA and meat and bonemeal ash (MBMA) will be analysed and selected for inclusion in the study on the basis of their chemical characteristics. Dairy cows will be investigated because monitoring contaminant levels in milk from cows in mid-lactation will provide a relatively rapid and sensitive method for detecting and assessing the transfer of contaminants to livestock from ingested waste materials. Research has shown that concentrations of POPs such as polychlorinated biphenyls (PCBs) in milk can reach steady state within two to three weeks in response to dietary exposure, whereas it takes much longer for these contaminants to reach steady state in body fat. Monitoring milk also has the advantage that samples can be taken at multiple time points in an individual animal, unlike meat samples. The dairy module will be carried out under highly controlled conditions using housed cattle fed specially prepared diets containing either: bedding materials, to simulate incidental ingestion of bedding; or waste-derived soil conditioners (eg PSA, PLA, MBMA, biosolids and/or biocompost) to mimic realistic rates of incidental ingestion of soil from waste-amended pasture. For each exposure scenario, groups of four cows will be fed the specially prepared diets for three weeks and matched groups of control cows will be fed diets without added waste materials. Milk samples will be monitored prior to dietary exposure, during exposure and four weeks after exposure ceases to determine how contaminant concentrations in milk vary during and after dietary exposure for each scenario. Carrots represent a worst-case for potential uptake of POPs from waste-amended soil. Carrots grown under controlled experimental conditions in sandy loam amended with waste-derived soil conditioners will be used to examine uptake of organic contaminants. The potential uptake of selected organic contaminants into cereal plants grown in waste-amended soil will initially be screened under laboratory conditions using a controlled 5-leaf-stage barley bioassay. Any organic contaminants from waste that are found to transfer to the barley shoots will then be investigated further for crop transfer to wheat grain in a replicated field trial on plots of sandy loam amended with the selected waste materials."	"There is pressure to use suitable recycled waste materials in agriculture either as animal bedding, or as soil conditioner. This has the benefit of minimising the use of virgin materials for bedding and of efficiently recycling increasingly scarce plant nutrients by using waste materials such as sewage sludge (biosolids) or poultry litter ash (PLA) as fertilisers. Paper sludge ash (PSA) is an effective desiccant in bedding for cattle. It is also used as a liming agent on land. However, the various waste streams currently used in agriculture can contain a range of chemical contaminants, including various emerging persistent organic pollutants (POPs). This project aims to generate robust scientific evidence that the following will not compromise food safety: rearing dairy cattle on bedding made from recycled waste using waste-derived fertiliser or liming agent for grassland or for arable land used for root crops or cereals The project also aims to identify or validate control measures needed to protect the food chain."	"Imperial Consultants"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241031_32"	"Total Diet Study"	"http://www.food.gov.uk/science/research/chemical-safety-research/env-cont/fs241031-32"	"2011"	"2012"	"About 1,000 samples were purchased and prepared as for consumption by the contractor Ventress. These samples were supplied to Fera, which composited them into 19 food groups and analysed them for the following range of contaminants: dioxins/ furans polychlorinated biphenyls polycyclic aromatic hydrocarbons polybrominated diphenyl ethers hexabromocyclododecanes perfluorinated compounds polychlorinated naphthalenes mixed halogenated dioxins/furans/biphenyls A set of duplicate diet samples were also tested, to evaluate an alternative approach. A total diet study has several objectives: to verify that controls introduced since the previous total diet study have been effective and determine the need for further tightening (eg dioxins and PCBs, PAHs); to establish trends and levels of current exposure for contaminants for which the European Commission may wish to introduce limits (PBDEs, HBCDDs, PFAS); and to establish a baseline for newly emerging contaminants for which knowledge of dietary exposure is unknown (polychlorinated naphthalenes, mixed halogenated dioxins)."	"Total diet studies have not been carried out since 2000 for polycyclic aromatic hydrocarbons (PAHs) and 2001 for dioxins/ furans, polychlorinated biphenyls (PCBs). Regulatory controls have since been introduced so there is an expectation that dietary exposure should have fallen. Total diet studies were carried out for polybrominated diphenyl ethers (PBDEs), hexabromocyclododecanes (HBCDDs) and perfluorinated substances (PFAS) in 2004 and, although no controls have been introduced for food, manufacture and use of PBDEs and PFAS has been phased out but there is no information about the impact his has had on levels in food."	"Fera/Ventress"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
