"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"SF6094"	"Toward Better Understanding and Effective Control of Listeria monocytogenes in Ontario's Farm-to-Fork Food Chain by Indexing the Pathogen (Phase II)"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6094.htm"	""	""	"Government agencies and industries will have an enhanced MLVA database and a verified MLVA protocol to use in their monitoring/surveillance programs. Timely molecular typing information will help them develop appropriate regulatory responses to incidents of food contamination. Greater knowledge about Ontario's predominant and persistent strains will help food safety professionals develop more effective strategies to prevent and minimize listeriosis. Differentiation of persistent and sporadic contamination events will help them select the best approach for mitigating the impact of the contamination."	"To index new L. monocytogenes strains that are isolated from Ontario's food and health chain in routine monitoring and surveillance programs and clinical cases in next two years using MLVA analysis. To have a comprehensive comparison in molecular profiles between PFGE and MLVA, To refine the current loci based on known epidemiologically related (and unrelated) strains and to conduct inter-lab validations. To better understand epidemiology of L. monocytogenes by conducting comparative genomic fingerprinting including whole genome sequencing on selected strains, particularly predominant and persistent ones. To provide an expanded database and validated MLVA protocol which can be implemented in routine monitoring and surveillance programs for enhanced risk assessment, risk management and control strategies."	"University of Guelph"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6094.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6095"	"Enhancing the detection of Giardia and Cryptosporidium in foods using microfluidic inertial separation chips"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6095.htm"	""	""	"The research will develop and optimize a novel technology involving microfluidics. This innovative sample preparation technology removes particulate debris and inhibitors through a universal sample preparation platform which performs rapid dynamic filtration and pathogen concentration using inertial separation. The separation of Cryptosporidium oocysts and Giardia cysts from debris particles and PCR inhibitors in implicated foods such as fresh berries and leafy greens, will allow for cleaner suspensions and a greater chance of detection by either microscopy or PCR."	"To develop, integrate and validate a high-throughput, non-clogging microfluidics-based platform for the rapid isolation of Giardia cysts and Cryptosporidium oocysts from food debris and inhibitors in order to improve the speed, sensitivity and specificity of food testing by microscopical or PCR-based methods in surveillance studies and outbreak investigations. This innovative sample preparation technology is able to handle large volumes of food and water samples rapidly and efficiently. The proposed approach will allow the elimination of particulate debris and inhibitors through a universal sample preparation platform which performs rapid dynamic filtration and pathogen concentration using inertial separation. Once optimized, the cyst and oocyst recovery efficiencies for the microfluidics-based protocols will be compared to the more traditional centrifugation methods often used in foods."	"Health Canada"	"Dixon, Brent"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6095.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6096"	"Prevalence, Persistence and Control of Non-O157 Shiga Toxin Producing Escherichia coli"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6096.htm"	""	""	"Non-O157 STEC encompasses over 200 serotypes with six being implicated in fatal cases of HUS. This has led to FSIS to class the Top Six serotypes as adulterants. As a consequence, there is a need to determine the prevalence of the Top Six in Ontario beef processing and carriage in ground beef at retail. In addition, there is a need to advise industry on the relative performance of diagnostic tests to screen for the Top Six non-O157 E. coli STEC. In addition, it is important to verify that interventions for E. coli O157 are capable of controlling the pathogens."	"To perform a comparative study on detection techniques for the Top Six STEC serotypes. Determine the prevalence of the Top Six serotypes and stx2 carrying E. coli in representative beef processing facilities within Ontario. Determine the carriage of the Top Six and stx2 carrying E. coli in retail ground beef sold within Ontario. Determine the inactivation kinetics of the Top Six serotypes when exposed to acid, thermal and high hydrostatic pressure."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6096.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6084"	"A systematic assessment of the use and value of deliberate challenge trials in pre-harvest food safety research"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6084.htm"	""	""	"Findings from this study will enable researchers to be more efficient in testing of pre-harvest interventions by indicating where challenge trials are appropriate, and whether field trials are needed in all instances to confirm the results of challenge trials. Additionally, the results will provide data that policymakers and governmental agencies can use to aid in the determination of funding allocation for future research on pre-harvest interventions and in making recommendations for use of interventions based on current research evidence. Likewise, the findings may be of interest to commodity-group/producer organizations and producers who make decisions on funding pre-harvest intervention research."	"The overall aim of this study is to formally evaluate the evidence for pre-harvest food safety intervention efficacy provided by challenge studies in the pre-harvest food safety literature. We will address this aim with the following objectives."	"University of Guelph"	"Sargent, Jan"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6084.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6085"	"Mitigation of the effects of Listeria monocytogenes using probiotics"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6085.htm"	""	""	"Identification and purification of active molecules able to decrease the virulence expression of L. monocytogenes or its ability to persist in food-related stress conditions will constitute new and powerful tools to the food industry to control L. monocytogenes but also to pharmaceutical industries to provide better prophylactic and therapeutic treatment to at risk population."	"Identify the most promising supernatants of probiotic bacteria (Cell Free Spent Media) for their aptitude to inhibit biofilm formation by L. monocytogenes. Identify the most promising supernatants of probiotic bacteria for their aptitude to modulate the agr or prf system of L. monocytogenes (implied in virulence expression) using genetically modified L. monocytogenes strains. These constructs will allow a fast and inexpensive screening of probiotic strains. Purify the most promising probiotic supernatants identified in 1. and 2. to allow identification of their active components and to allow their concentration. Characterize the effects of purified and concentrated extracts using real-time PCR and microarrays to study aptitude for decreasing virulence gene expression and decreasing stress resistance expression. Confirm aptitude of purified and concentrated extracts to decrease biofilm formation and check their ability to decrease invasion of Caco-2 cells."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6085.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6086"	"Development of a vaccine for the prevention of colonization of poultry by Salmonella and Campylobacter"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6086.htm"	""	""	"The vaccination will complement the use of biosecurity and other intervention strategies to decrease the level of contamination of poultry products with food borne pathogens. The development, production and application of the proposed vaccines will be beneficial for all parties involved and will contribute to increased food safety and improved public health in Canada."	"To produce an adenovirus expressing a Salmonella antigen To produce an adenovirus expressing a Campylobacter antigen To determine if vaccination using the FliC antigen delivered by adenovirus is effective in preventing or reducing colonization of poultry by Salmonella Typhimurium To determine if vaccination using the FlaA antigen delivered by adenovirus is effective in preventing or reducing the level of colonization of poultry by Campylobacter jejuni."	"University of Saskatchewan"	"Koester, Wolfgang"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6086.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6088"	"Pathogen die-off rates following manure application under Ontario field conditions"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6088.htm"	""	""	""	"Measure die-off rates of manure-derived indicator (E.coli) and pathogenic organisms (e.g. Salmonella, Campylobacter, Listeria under field conditions following spring, late summer and fall manure application using the sentinel chamber technique. Compare these die-off rates to population changes in the bulk soil which result from die-off and transport mechanisms. Assess the effect on pathogen survival of manure surface application versus incorporation. Compare the survival of indicator and pathogenic organism under identical field conditions. Compare die-off rates to pre-planting and pre-harvest waiting times. Measure concurrent changes in nutrient (N, P) levels at the same field sites to assess the contradictory impacts on nutrient and pathogen risk management. Provide information for manure and compost management recommendations to improve food safety by reducing the risk of food-borne illness resulting from pathogen contamination of food crops."	"The Soil Resource Group"	"Huber, Ann"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6088.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6090"	"Evaluation of novel-tannin-containing forage for mitigation of Escherichia coli O157:H7 in ruminants"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6090.htm"	""	""	""	"To evaluate the ability of purple prairie clover to reduce fecal shedding of E. coli O157:H7 in lambs challenged with E. coli O157:H7 To determine the role of purple prairie clover tannin in reducing E coli O157:H7 fecal shedding. To determine their kill site of E. coli O157:H7 in digestive tract of ruminant (i.e rumen or large intestine)."	"Agriculture and Agri-Food Canada"	"Wang, Yuxi"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6090.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6087"	"Study on dynamics of mycotoxin profiles of Fusarium graminearum in corn, wheat and potatoes in Ontario and other Canadian provinces"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6087.htm"	""	""	"The project will connect researchers and beneficiaries (food and feed industries, and Ontario food safety program) with baseline data to develop mitigation strategies for the reduction of pre-harvest myctoxin contamination in corn, wheat and potatoes. The study will support development of mycotoxin resistant cultivars, improved crop rotation practices, more effective fungicide management decisions and better seed trade policies among the provinces of Canada. The presence of diversified strains with different toxigenic potentials within Fg in wheat and corns greatly complicates risk forecasting. Understanding the relationships between environment, chemotype distribution, and trichothecene accumulations in grains advances the DON forecasting tools leading to reduced toxin loading in Ontario's food chain."	"The overall goal is to identify mitigation strategies to prevent preharvest DON/NIV production by F. graminearum in wheat, corn, and potatoes based on Hazard Analysis and Critical Control Point (HACCP) principles. The proposed research will establish a baseline to monitor 3ADON/ 15ADON/NIV chemotypes in corn, identify the potential risk of trichothecene mycotoxin contamination in potatoes and evaluate the current chemotype shift in wheat in Ontario The research simultaneously helps Ontario Food Safety Programs to better understand toxin risks while improving the tools and strategies that corn and wheat producers use to reduce toxin accumulation in grains. The specific objectives are:"	"Weather Innovations Incorporated"	"Burlakoti, Rishi Ram"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6087.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6089"	"Comparative exposure assessment for campylobacterosis in Ontario"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6089.htm"	""	""	"The proposed quantitative assessment of exposure of Ontarians to Campylobacter will inform decision-making and policy development with regards to food, water and on-farm food safety policy development in Ontario, at the municipal and provincial levels. In addition, results can be used by risk communicators to reformulate messages to the general public and to specific subpopulations (e.g., parents of very young children, people living in rural communities) about high risk exposures. From a broad perspective, the approach and knowledge gap framework developed for campylobacteriosis will also be critical to the development of similar exposure assessments for other key enteric diseases."	"Develop a quantitative microbial risk exposure assessment for relative risks of Campylobacter by exposure source in Ontario, based on province-specific estimates and distinguishing selected subpopulations at higher risk Develop a comprehensive knowledge gap framework for Campylobacter exposure frequency and contamination sources for Ontario and Canada. Estimate prevalence and contamination level (concentration) for Campylobacter in farms, water and retail food in the Region of Waterloo, Ontario to inform the quantitative risk exposure assessment. This will be done via a cross-sectional survey. Develop and implement a KTT plan, with knowledge users, that is dynamic and iterative to rapidly disseminate, mobilize and exchange the results of the study."	"Public Health Agency of Canada"	"Ravel, André"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2010/sf6089.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6077"	"Enteric pathogens in compost: Analysis of survival, regrowth and the risk for transmission of a variety of organisms"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6077.htm"	""	""	"This study will provide scientific data in support of risk assessment and risk management, thus helping to ensure the safety of Ontario-grown produce. Thermal inactivation values obtained here will allow assessment of the risk posed by compost for the transmission of bacterial, viral and parasitic pathogens, and will reveal whether current guidelines for composting are sufficient to ensure the safety of the finished product. These data may also reveal differences in pathogen inactivation in different compost matrices, and may indicate a requirement for the establishment of material-specific composting guidelines to ensure the safety of compost applied to Ontario produce fields."	"Determine 'D' and 'z' values for the thermal inactivation of an array of human pathogens (bacterial, parasitic and viral) in three different source materials for composting, under conditions that meet or exceed current industry standards. Monitor pathogen levels in heat-treated compost source materials to assess the potential for pathogen recovery and growth during a standard compost maturation period, under varying experimental conditions (e.g., moisture and indigenous microflora content). Field-scale validation of findings from objectives 1 and 2."	"Health Canada"	"Reid, Anne"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6077.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6080"	"Pilot study on the application of whole genome sequencing approach for the molecular typing of foodborne bacterial pathogens"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6080.htm"	""	""	"Ability to quantify the virulence of food-borne pathogens in an accurate and timely manner leading to effective mitigation approaches and better allocation of limited food safety resources."	"The development of a protocol for quantifying the virulence of S. enterica isolates by a whole genome sequencing approach and use the protocol to generate data for food safety risk assessment."	"Canadian Food Inspection Agency"	"Ogunremi, Dele"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6080.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6081"	"Toward better understanding and effective control of Listeria monocytogenes in Ontario's farm-to-fork food chain by indexing the pathogen"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6081.htm"	""	""	"If successful, this will be the first comprehensive MLVA genotyping database for ~2400 L. monocytogenes strains collected from Ontario's food chain and clinical cases over last 10 years."	"The main goal of the project is to provide an avenue to allow implementation of proactive and cost-effective monitoring/prevention approaches to prevent/minimize food-borne listeriosis. The specific objectives are:"	"University of Guelph - Laboratory Services Division"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6081.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
