"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"investigator_index__inv_id"	"institution_index__inst_id"	"institution_data__INSTITUTION_NAME"
"RD-2012-3789"	"Added value fallows: The use of customised cover cropping approaches within integrated grass weed management"	"http://cereals.ahdb.org.uk/publications/2012/august/08/added-value-fallows-the-use-of-customised-cover-cropping-approaches-within-integrated-grass-weed-management.aspx"	"2012"	"2016"	"  The problem   There is a threat to the sustainability of conventional rotations due to increasing levels of herbicide resistant grass weeds. In these situations the adoption of cultural approaches, such as fallowing for the worst affected areas (often combined with spring cropping within the rotation), should be considered. Project aims   The aim of this project is to add value to fallows by incorporating cover crops that can enhance weed suppression, as well as delivering the additional benefits of improved soil structure, fertility and biodiversity. Approach   - Quantify the effect of different cover cropping approaches on grass weed populations and seed return in following crops compared with conventionally managed autumn and spring cropping and fallowing. - Evaluate the potential for plant residues to suppress weed establishment and growth in a wider range of grass weed species and compare a wider range of cover crop species. - Produce robust data on the use of such approaches within integrated weed management that will detail their likely influence on system profitability. - Improve understanding of the effects of such approaches on wider parameters (eg soil systems and measures of biodiversity) and the better integration of ecosystem services into conventional crop production systems. - Develop management guidelines for the use of such cover cropping in integrated weed management. Benefits to the industry   The project outputs will provide a robust scientific evidence base to inform decisions on the potential of added value fallow systems to improve cultural approaches to weed management. In particular, the project will recommend cover cropping approaches and compositions of cover crop mixtures with specific reference to their use as short-term weed suppressing leys; develop agronomy and management guidelines for the use of such approaches; provide robust data on the use of such approaches within integrated weed management that will detail their likely influence on system profitability; improve understanding of the effects of such approaches on wider parameters (eg soil systems and measures of biodiversity) and the better integration of ecosystem services into conventional crop production systems. View printer friendly versions of these publications"	"146"	"Cussans, John"	"-1"	"-1"	"NIAB TAG"
"RD-2012-3788"	"Preventing a widescale increase in ALS resistant broad-leaved weeds through effective management in a cereal-oilseed rape rotation"	"http://cereals.ahdb.org.uk/publications/2012/august/08/preventing-a-widescale-increase-in-als-resistant-broad-leaved-weeds-through-effective-management-in-a-cereal-oilseed-rape-rotation.aspx"	"2012"	"2015"	"  The problem   Loss of herbicides under recent European pesticide legislation has led to very limited herbicide choice across arable rotations, many relying heavily on acetolactate synthase (ALS) products. No new herbicide modes of action are on the horizon. Worldwide, the ALS-inhibiting herbicide class has the greatest incidence of resistance. Resistance in poppy has already been found in the UK and is common in other European countries (eg Italy, Spain). Project aims   The project aim is to develop practical solutions to prevent a widescale increase in ALS resistant broad-leaved weeds, including common poppy ( Papaver rhoeas ), through effective management in a cereal/oilseed rape crop rotation. Approach   This project includes a three-year wheat/oilseed rape autumn rotation (two field sites) with herbicide treatments focusing on principles (selection pressures), rather than specific products, and breaks (including fallow and spring cropping). The project will be delivered through a series of field and container-based experiments to provide more detailed data and understanding. Container experiments will include up to five different poppy populations of different degrees of resistance providing a range of 'starting points' to be tested against herbicide treatments (up to 12) of varying resistance risk levels over a three-year period to assess how quickly resistance builds up. These will run in parallel with the field trial treatments to provide validation, consistency and practical implementation.   Benefits to the industry   The project outcome will help retain availability of herbicides: directly, by providing strategies to retain their efficacy; and indirectly, by providing evidence of their value in resistance management strategies. It will provide agronomists, farmers and regulators with practical guidelines for use in resistance management strategies. A significant part of the project will focus on raising awareness of the issue and communication of results and management guidelines to farmers. View printer friendly versions of these publications"	"146"	"Tatnell, Lynn"	"-1"	"-1"	"ADAS"
"RD-2009-3647"	"Sustaining winter cropping rotations under threat from herbicide resistant black-grass"	"http://cereals.ahdb.org.uk/publications/2012/april/12/sustaining-winter-cropping-rotations-under-threat-from-herbicide-resistant-black-grass.aspx"	"2010"	"2013"	"  The problem In many parts of England rotations of predominantly winter crops are under threat from herbicide resistant black-grass when it leads to a significant reduction in the efficacy of iodosulfuron + mesosulfuron (Atlantis) in winter wheat. Alternative herbicides, even when used in mixtures and sequences, do not offer reliable control above 90%. Field experience over the last two years has demonstrated this concern and the need to supplement alternative herbicides to iodosulfuron + mesosulfuron with other management options. Project aims To sustain predominantly winter cropping rotations where they are threatened by herbicide-resistant black-grass. Approach - Measure the impact of drilling date, crop plant population and the interaction between these two management options in combination with alternative herbicides to iodosulfuron + mesosulfuron, on the population dynamics of black-grass seed return in winter wheat. - Incorporate the data into an existing mechanistic model in order to improve the quantification of the impact of delayed sowing and crop competition in terms of control of seed return required from alternative herbicides to iodosulfuron + mesosulfuron. - To provide crop management guidelines to enable farmers to sustain predominantly winter cropping rotations in the presence of multiple-herbicide resistant black-grass. Benefits to the industry The project aims to provide information on drilling date and plant population that may sustain rotations that contain predominantly winter-sown crops and where herbicide resistance prevents high levels of black-grass control. View printer friendly versions of these publications"	"146"	"Moss, Stephen"	"-1"	"-1"	"Rothamsted Research"
"1100005"	"Sustainable Agriculture Research and Innovation Club (SARIC)"	"http://cereals.ahdb.org.uk/publications/2016/march/07/sustainable-agriculture-research-and-innovation-club-(saric).aspx"	"2014"	"2019"	"The challenge A rising global population combined with global climate change, the potential spread of newly emerging diseases of livestock and crops, and the volatility of oil prices threaten global food security. The Sustainable Agriculture Research and Innovation Club (SARIC) is a joint BBSRC and NERC initiative to support innovative projects that will provide solutions to key challenges affecting the efficiency, productivity and sustainability of the UK crop and livestock sectors. The project The agricultural industry has a significant impact upon the UK’s economy and environment. The industry has around 150,000 businesses in the UK, which is 6% of the total, and employs 660,000 people. The sector contributes £9.9 billion to UK GDP through production of both livestock and crops. In 2014 the Utilised Agricultural Area was 17.2M hectares, which is 71% of land in the UK. SARIC was created as a public-private partnership that will enhance the efficiency, productivity and sustainability of our agricultural systems. The club will enable the UK research base to contribute to the substantial innovation opportunities connected with the sustainable intensification of agriculture. Over five years SARIC will invest in activities in the research base that translate existing knowledge and generate new insights to benefit the UK. The activities will bring together multidisciplinary teams in novel collaborations with expertise from the biological, environmental, economic and social sciences. The benefits BBSRC, NERC and ESRC have a strong record in managing collaborative research programmes, including the Research Innovation Club mechanism. Companies report a range of significant benefits from their engagement with the Research Councils: • Capacity to influence research in important strategic areas • Knowledge on the progress of relevant research projects and early access to results • Opportunity to work with leading researchers and to build strong relationships with them • Opportunity to identify the best potential industry recruits • Guidance on other Research Council activities and funding opportunities • Promotion of companies through relevant activities, objectives and outputs View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"BBSRC"
"RD-2009-3476"	"Crop Improvement Research Club (CIRC)"	"http://cereals.ahdb.org.uk/publications/2010/january/01/crop-improvement-research-club-(circ).aspx"	"2010"	"2015"	"  The challenge A rising global population combined with global climate change, the potential spread of newly emerging diseases of livestock and crops, and the volatility of oil prices threaten global food security. There is an urgent need to develop sustainable new crop varieties with greater yield potential with reduced inputs. The challenge for industry will be to achieve high yielding, cereal varieties that consistently produce high quality products that are safe, nutritious and meet end-user requirements. Therefore, BBSRC and the Scottish Government have brought together industry and the research community to support research efforts on oilseed rape, barley and wheat and their uses in food production through the development of the Crop Improvement Research Club. The project The project aims to: - Strengthen the UK research community in the areas of crop breeding, production and processing through interdisciplinary research and the provision of training - Ensure the exchange of knowledge between the science base and industry through effective networking between academic groups and companies - Develop a greater understanding of quality and yield traits and of the complex genetic and environmental factors affecting them through: The benefits This initiative has increased investment in research activity that would underpin the needs of the crop production and processing industry to address the challenge of maintaining food security. As no single organisation could hope to undertake the sort of research that CIRC enables, by clubbing together with the help of public funders, it is expected to make improvements across the industry. The anticipated output could help to reduce waste, improve quality and deliver cost savings benefitting wider society. To date, this programme is supporting 15 research projects and 10 four-year PhD studentships aligned with the funded projects. View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"BBSRC"
"214-0006131"	"Managing the resistance risk to retain long-term effectiveness of glyphosate for grass-weed control in UK crop rotations"	"http://cereals.ahdb.org.uk/publications/2015/september/15/managing-the-resistance-risk-to-retain-long-term-effectiveness-of-glyphosate-for-grass-weed-control-in-uk-crop-rotations.aspx"	"2015"	"2020"	"The challenge Current changes in usage patterns of glyphosate in the UK have increased the risk of resistance development. The main threat is in annual arable crops where glyphosate provides a key role in managing grass-weeds which have developed resistance to selective herbicides. Guidance to reduce the risk of resistance development has been published by AHDB but important knowledge gaps still exist. The project The project will provide information for the development of more robust guidelines to reduce the risk of resistance development, in particular to quantify the four key principles: prevent survivors, maximise efficacy, use alternatives and monitor success. Specifically it will provide greater precision on how much glyphosate can safely be used and how often to avoid resistance evolving. The experimental work will involve a combination of both field and container-based methods. The main grass-weeds tested will be black-grass and Italian rye-grass and will investigate the two key risk periods of glyphosate application: 1) Stubbles/pre-drilling when multiple applications are applied and 2) Between crop rows when application will be to larger plants and not followed by other risk mitigation. Outcomes of the research will enable publication of more robust practical management guidelines. The project will be managed by ADAS with co-funding and collaborative involvement from the Glyphosate Task Force (through Monsanto) and four distributor companies (providing data and sites). The Black-grass Research Initiative (BGRI) will be represented on the steering group and close collaboration will be maintained through joint activity. CRD will be a regulator. The benefits The project outcome will be improved evidence leading to greater precision and detail in future management guidelines, which should significantly reduce the chances of resistance to glyphosate evolving in key grass weed species.  View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"ADAS"
"RD-2012-3807"	"BBSRC-HGCA Black-grass project"	"http://cereals.ahdb.org.uk/publications/2014/may/30/bbsrc-hgca-black-grass-project.aspx"	"2014"	"2018"	"The challenge Resistance to herbicides in black-grass is a major constraint to cereal production in the UK. Management options to control black-grass based around rotational changes or sowing date are unattractive. Understanding the basis of the evolution and spread of herbicide resistance may provide new management options to combat black-grass and will provide insights that should enable more effective management of new herbicide resistance problems early in their development. The project The project will examine the evolution and management of herbicide resistance in black-grass from the genetic to the agroecosystem level. It will focus on multiple herbicide resistance (MHR), which is underpinned by enhanced herbicide metabolism. The work addresses five key questions: Engagement of stakeholders throughout the life of the project is a central part of the work and will include the formation of a farmer’s forum and a project steering group. This large, ambitious project aims to revitalise weed research in UK universities and will place the UK at the forefront of the global fight against herbicide resistance. The benefits Benefits will accrue from a greater capacity for proactive detection and management of herbicide resistance in black-grass and other weeds. Ultimately, this will lead to the provision of more sustainable weed management strategies, a reduction in the direct impacts of weeds on crop yields and a reduction in the wasteful application of herbicides to populations where the frequency of resistance is high. The project will also provide valuable insight for the agrochemical industry on the severity and distribution of herbicide resistance and help inform appropriate policies and research to ensure the sustainable use of herbicides. View printer friendly versions of these publications"	"146"	""	"-1"	"-1"	"University of Newcastle"
"RD-2011-3757"	"Competitive crop cultivars: optimising yield and sustainable weed suppression (PhD)"	"http://cereals.ahdb.org.uk/publications/2011/august/22/competitive-crop-cultivars-optimising-yield-and-sustainable-weed-suppression-(phd).aspx"	"2011"	"2013"	"  The problem The loss of active ingredients arising from new EU regulation (EC 1107/2009), the increasing threat of herbicide resistance and the lack of new herbicide modes of action has created a perfect storm for weed control in the UK. Particularly for black-grass, the most economically important weed in UK wheat, there is an unsustainable reliance on a small number of active ingredients. Without the development of more sustainable weed control strategies, the future profitability of cereal production in the UK is under serious threat. Project aims To exploit the natural variability in the suppressive ability of cereal cultivars to support integrated weed management strategies in a way that doesn't compromise weed free yield. Approach - Identify the plant traits that improve weed suppression without compromising yield under weed free conditions and quantify the value of these traits for a range of cereal cultivars on the recommended lists. - Develop simple, non-destructive screening protocols that can be used to rank new cultivars, prior to commercial release, in terms of their ability to suppress weeds using a small number of indicator traits. - Use simulation models to quantify the potential contribution of competitive cultivars to weed control in the context of integrated weed management strategies that use a combination of cultural and chemical control techniques. Benefits to the industry The combination of the database on eco-physiological traits of the varieties on the recommended list and the simulation model will result in two major deliverables to the industry: 1. Development of management guidelines on the optimal use of cultivars in sustainable weed management in combination with other cultural control options, including a cost benefit analysis of different combinations of cultural and chemical control options. 2. A practical, robust system for indexing new cereal cultivars, even before they are commercially released, in terms of their relative ability to suppress weeds on the basis of morphological traits that can be measured simply and non-destructively. View printer friendly versions of these publications"	"146"	"Storkey, Jonathan"	"-1"	"-1"	"Rothamsted Research"
"2140033125"	"A review of the benefits, optimal crop management practices and knowledge gaps associated with different cover crop species"	"http://cereals.ahdb.org.uk/publications/2016/february/26/a-review-of-the-benefits,-optimal-crop-management-practices-and-knowledge-gaps-associated-with-different-cover-crop-species.aspx"	"2015"	"2016"	"The challenge There is a renewed interest in cover crops in the UK as a way to improve nutrient cycling, soil structure, weed control, increase soil organic matter and meet environmental regulations. However, there is a demand from growers for information on the benefits and returns from cover crops and guidance on species/mix selection, establishment, management and destruction of the cover crop. The project This review of relevant international, UK and unpublished literature will:        The benefits The overall aim of the review is to distil cover crop knowledge into practical guidance for growers, about optimum cover crop management for different farming systems and environments. View a printer friendly version of this publication"	"146"	"White, Charlotte"	"-1"	"-1"	"ADAS"
"214-0005"	"Validation of an integrated pest management (IPM) strategy for pollen beetle to minimise the development of insecticide resistance"	"http://cereals.ahdb.org.uk/publications/2014/march/05/validation-of-an-integrated-pest-management-(ipm)-strategy-for-pollen-beetle-to-minimise-the-development-of-insecticide-resistance.aspx"	"2013"	"2016"	"The challenge While the science behind the current threshold is understood there have been questions raised about whether crop tolerance is affected if beetle feeding is concentrated on the primary raceme or if the crop is pigeon damaged. Whilst these questions persist, they are likely to inhibit the acceptance of the new threshold scheme. Also the project suggested that there is no obvious difference between the inherent tolerance of hybrid and conventional rape varieties. These findings are contrary to long-held beliefs about pollen beetle in oilseed rape and need to be re-enforced and validated by further research in order to engender confidence among farmers/agronomists. General understanding of the role of crop tolerance in crop protection is likely to become increasingly important in the future as the number of available insecticides continues to decline. The project The project will investigate the impact of different numbers of pollen beetles on the yield of winter and spring oilseed rape in the presence or absence of insecticide treatments in crops with a range of plants/m 2 and canopy size. It will simulate pollen beetle feeding damage by pruning buds to provide data on crop tolerance at a range of levels of bud loss. It will investigate the impact of pigeon grazing and plant population on the compensatory ability of plants by simulating damage using a defoliation treatment. The latest pollen beetle traps and on-line decision support tool will also be assessed. The project will provide guidelines on how best to monitor pollen beetle numbers. The benefits The proposed project will give farmers/agronomists greater confidence in assessing the risk of pollen beetle attack and facilitating the use of action thresholds. A validated integrated pest management (IPM) strategy for this pest will save growers time and money by minimising the time needed for effective pest monitoring and helping to prevent unnecessary sprays. It will also minimise the environmental impact of insecticide use in oilseed rape; in particular, it will safeguard natural enemies of pest species and other non-target organisms. Importantly, it will also limit the potential spread of pollen beetle resistance to synthetic pyrethroids. View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"ADAS"
"2140009118"	"Utilising slug distribution to develop precision application"	"http://cereals.ahdb.org.uk/publications/2015/october/15/utilising-slug-distribution-to-develop-precision-application.aspx"	"2015"	"2018"	"The challenge Changeable weather, lack of control options, environmental considerations and legislative changes all add to the slug control challenge. If slugs were left totally uncontrolled they would cause losses per year of around £25 million in wheat, £18 million in oilseed rape, and £53 million across all potato sectors (ware, processing, and seed). Metaldehyde is often detected in raw water above the drinking water standard, with peaks following rainfall. While levels detected pose no danger to health or the environment, the UK’s environment agencies and Defra are responsible for the implementation of the Water Framework Directive. Unless action is taken, regulatory restrictions, or even withdrawal, may be enforced. With the recent ban of methiocarb, the understanding of slug patterns will aid in a more targeted approach to integrated pest management. The project The work commences by establishing the extent of the discontinuous distribution of slugs in commercial fields defining frequency and size range of patches. The relationship between environmental factors (e.g. soil moisture, organic matter, pH, soil type) and patch location/size will be established to improve understanding of drivers of patch formation/stability and to develop patch identification/definition approaches for precision treatment. Stability of patches (within and between years/crops) will be tested in commercial fields and the theory that population density declines towards the patch edge from a central peak will be investigated to refine patch definition. The relationship between slug population density and patch size will also be defined. A monitoring system for patch definition will be developed and linked to current commercial precision farming methods, and they will be subjected to a cost benefit analysis. The benefits Focussing on patch rather than field scale management of slugs will contribute to the strategic objective of precision inputs, which has two potential consequences: • Reduced risk of diffuse pollution and non-target effects from existing chemistry, arguably allowing use to be retained. • Improved cost effectiveness of alternatives such as biocontrol agents which would also facilitate the development of options for organic growers.   View a printer friendly version of this publication"	"146"	"Walters, Keith"	"-1"	"-1"	"Harper Adams University"
"214-0013"	"Integrated aphid advisory alerts"	"http://cereals.ahdb.org.uk/publications/2014/september/05/integrated-aphid-advisory-alerts.aspx"	"2014"	"2018"	"Aphid advisory alerts provide weekly updates on regional aphid activity during key times of the year. They are designed to assist decision-making relating to spraying. To receive the alerts directly to your inbox, sign up to Aphid News For the latest edition of Aphid News, please see the 'Document downloads' box on the right. How to catch an aphid A suction-trap network is used to catch aphids. The information is used to prepare AHDB Aphid News   The challenge Aphids have the potential to cause major economic problems in most UK crops through removal of sap, transmission of viruses and deposition of honeydew. The sporadic nature of aphid attacks in time and space means that prophylactic use of insecticides does not make economic sense. It also increases the risk of insecticide resistance and damages the environmental reputation of the industry. The project Suction-traps, managed by Rothamsted Research and SASA, have provided data of value in assessing aphid risk on a regional basis, and yellow water-pan traps have been deployed by Fera to assess risk at a local level from aphids to potatoes. This project is bringing together outputs from these networks to optimise information that cereal, oilseed, potato, vegetable, pea and bean growers receive. The project will provide weekly web-based information (AHDB Aphid News) on cereal, oilseed rape, potato, vegetable, pea and other pest aphids on the basis of samples from existing suction-traps; provide weekly information in autumn on numbers of cereal-colonising and bird cherry-colonising bird cherry–oat aphids at Rothamsted; provide forecasts of the phenology and early season abundance of cereal, oilseed rape and potato aphids on the basis of samples from existing suction-traps; provide weekly web-based information on cereal, oilseed rape, potato, vegetable, pea and bean aphid local distribution and abundance on the basis of yellow water-pan traps, and integrate all of the above into weekly summary bulletins for AHDB (HGCA, PCL, HDC) and PGRO. The benefits AHDB Aphid News is written using information produced through this project and provides information about when aphids are migrating at key times of the year. Suction traps and water-pan traps are used to gather regional data and show how the major aphid species have developed over the season. The first autumn migrations are reported and this information can aid decision-making on whether to spray against vectors of turnip yellows virus (TuYV) and barley yellow dwarf virus (BYDV). Information in the newsletters should be used to rationalise the use of insecticides, time treatments better and reduce harm to beneficial insects. This will also lower the risk of selection for insecticide resistance by reducing unnecessary or wrongly timed sprays. View printer friendly versions of these publications"	"146"	"Harrington, Richard"	"-1"	"-1"	"Rothamsted Research"
"RD-2011-3758"	"Autumn survey of wheat bulb fly incidence"	"http://cereals.ahdb.org.uk/publications/2012/october/05/autumn-survey-of-wheat-bulb-fly-incidence.aspx"	"2011"	"2014"	"  The problem   Wheat bulb fly is a major pest of wheat in England and Scotland but numbers fluctuate considerably from year to year. Incidence generally increases following a wet harvest period, such as in 2004 when 50% of fields had egg populations above 250/m². Between 1984 and 2010, the probability of fields having an above threshold count has ranged from 3 to 50%   Project aims   To establish the annual incidence of wheat bulb fly in the autumn to allow farmers/agronomists to decide on the need for insecticidal seed treatment and/or egg hatch or deadheart sprays. Approach   To measure the incidence of wheat bulb fly each autumn in the infested areas and to forecast the need for seed treatment or alternative insecticidal treatments. Benefits to the industry   The project will indicate the need for seed treatment against wheat bulb fly and also help to determine the likely need for egg hatch or dead heart sprays. Information on pest egg numbers is a vital component of risk assessment and will help to promote a rational approach to insecticide use against this pest. A continuation of the survey is very timely in view of the high levels of wheat bulb fly in crops in the 2011 harvest year which were predicted in the autumn 2010 survey. This will undoubtedly focus attention on wheat bulb fly for the 2011/12 season and the survey will help to address farmer/agronomist concerns. View printer friendly versions of these publications"	"146"	"Ellis, Steve"	"-1"	"-1"	"ADAS"
"1100005"	"Sustainable Agriculture Research and Innovation Club (SARIC)"	"http://cereals.ahdb.org.uk/publications/2016/march/07/sustainable-agriculture-research-and-innovation-club-(saric).aspx"	"2014"	"2019"	"The challenge A rising global population combined with global climate change, the potential spread of newly emerging diseases of livestock and crops, and the volatility of oil prices threaten global food security. The Sustainable Agriculture Research and Innovation Club (SARIC) is a joint BBSRC and NERC initiative to support innovative projects that will provide solutions to key challenges affecting the efficiency, productivity and sustainability of the UK crop and livestock sectors. The project The agricultural industry has a significant impact upon the UK’s economy and environment. The industry has around 150,000 businesses in the UK, which is 6% of the total, and employs 660,000 people. The sector contributes £9.9 billion to UK GDP through production of both livestock and crops. In 2014 the Utilised Agricultural Area was 17.2M hectares, which is 71% of land in the UK. SARIC was created as a public-private partnership that will enhance the efficiency, productivity and sustainability of our agricultural systems. The club will enable the UK research base to contribute to the substantial innovation opportunities connected with the sustainable intensification of agriculture. Over five years SARIC will invest in activities in the research base that translate existing knowledge and generate new insights to benefit the UK. The activities will bring together multidisciplinary teams in novel collaborations with expertise from the biological, environmental, economic and social sciences. The benefits BBSRC, NERC and ESRC have a strong record in managing collaborative research programmes, including the Research Innovation Club mechanism. Companies report a range of significant benefits from their engagement with the Research Councils: • Capacity to influence research in important strategic areas • Knowledge on the progress of relevant research projects and early access to results • Opportunity to work with leading researchers and to build strong relationships with them • Opportunity to identify the best potential industry recruits • Guidance on other Research Council activities and funding opportunities • Promotion of companies through relevant activities, objectives and outputs View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"BBSRC"
"214-0002"	"Investigating the effect of natural enemies and environmental conditions on soil populations of saddle gall midge (Haplodiplosis marginata)"	"http://cereals.ahdb.org.uk/publications/2014/june/02/investigating-the-effect-of-natural-enemies-and-environmental-conditions-on-soil-populations-of-saddle-gall-midge-(haplodiplosis-marginata).aspx"	"2014"	"2016"	"The challenge In recent years, saddle gall midge has re-emerged as a serious pest of cereal crops in the UK in an area from Wilshire to the Scottish Borders. In these areas, continuous wheat crops on heavy land have been particularly badly affected, with yield losses in the most severe cases reaching 70% in 2010 and 2011. The project The project will investigate the role of natural enemies in supressing soil populations of saddle gall midge, as well as environmental conditions such as soil moisture. In addition, the effectiveness of break crops in reducing the size of soil populations will be investigated. The project will be completed using a series of field, semi-field and laboratory experiments. The benefits An improved understanding of saddle gall midge biology and factors that may reduce the size of populations of larvae in the soil will be of benefit to cereal growers and agronomists in at-risk situations. Some growers have suffered significant financial losses from saddle gall midge damage and better information would allow these growers to manage the pest more efficiently and avoid the need for unnecessary insecticide applications that may disrupt natural enemies of other pests, such as aphids. Similarly, agronomists engaged in giving advice to those farmers would also benefit from improved knowledge of the pest. View printer friendly versions of these publications"	"146"	""	"-1"	"-1"	"Harper Adams University"
"RD-2012-3806"	"Improving risk assessment and control of saddle gall midge (Haplodiplosis marginata)"	"http://cereals.ahdb.org.uk/publications/2013/july/16/improving-risk-assessment-and-control-of-saddle-gall-midge-(haplodiplosis-marginata).aspx"	"2013"	"2016"	"  The challenge Severe, widespread outbreaks occurred in continuous cereals on heavy land in 2010 and 2011. The occasional nature of the pest in the UK means that experience of the problem is minimal, when compared to more regular pests. The risk that this pest poses to the crop is closely linked to the size of the larval population in the soil, the proportion of the population that pupates and successfully emerges as adults and the period over which the pupation and emergence occurs. In 2012 HGCA funded a monitoring programme at a site with a known history of the pest (RD-2011-3765). It suggested that predicting the risk of crop damage from the midge is more dependent on the timing and number of adult pests that emerge rather than the number of larva in the soil. The project Project aims: 1. Monitor midge development in relation to Met data to improve understanding the pest’s life-cycle to facilitate improved forecasting of outbreaks 2.  Measure the impact of midge infestation on crop yield of wheat and barley 3.  Evaluate the efficacy of a range of timings and products for midge control 4.  Use data from objectives 1-3 to propose provisional thresholds for saddle gall midge Climatic conditions at each site will be recorded and numbers of midge developmental stages will be assessed by soil sampling between early-March and mid-June. A range of trapping methods including yellow sticky traps, yellow water traps and emergence traps will be compared. Number of attacked tillers, galls/tiller, ears/plant, grains/ear and yield/tiller will be measured comparison with uninfested plants/tillers. This will help to indicate the level of tiller infestation required to have a significant impact on crop yield. The growth stage of the crop at the time of midge emergence/egg laying and the potential for the crop to compensate will also be investigated. The experiment will compare up to three insecticides at a range of timings at both monitoring sites. The benefits An improved understanding of saddle gall midge will be of benefit to cereal growers in at-risk situations; agronomists; distributors; and the chemical industry. An improved understanding of the risk and timing of saddle gall midge attacks would allow improved targeting and timing of insecticide applications. View printer friendly versions of these publications"	"146"	"Ellis, Steve"	"-1"	"-1"	"ADAS"
"214-0025"	"Cabbage stem flea beetle larval survey"	"http://cereals.ahdb.org.uk/publications/2015/april/17/cabbage-stem-flea-beetle-larval-survey.aspx"	"2015"	"2015"	"The challenge A restriction on the use of the neonicotinoids, clothianidin, imidacloprid and thiamethoxam, was enforced by the European Commission on 1 December 2013. The 2014 winter oilseed rape (WOSR) crop was the first for which neonicotinoid seed treatments were not available to protect plants during emergence and establishment. Prior to the restriction, neonicotinoid seed treatments had been widely used to reduce damage during the establishment phase of the crop. A primary pest for which neonicotinoid seed treatments provided protection was cabbage stem flea beetle (CSFB). CSFB is estimated to affect 67% of the total OSR area, with adults feeding on the foliage of emerging crops before laying eggs at the base of plants. Hatching larvae enter the plants from mid-October, where they feed throughout the winter, moving from the petioles to the stems.   The project This project will assess CSFB larval populations in the seven counties worst affected by adult feeding (as identified in the ‘Cabbage stem flea beetle snapshot assessment’) in February and April. In each county, sampling will occur at two sites – one that had high adult CSFB pressures in the autumn and another that had low adult CSFB pressures in the autumn. Plants will be collected from selected sites, inspected for the presence of leaf scarring, and dissected to determine larval numbers. At each site, yield will be recorded at harvest and compared to the average yield for the same field over a number of years. Information will also be collected on the insecticides applied to treat CFSB.   The benefits These data will be used to contribute to a general assessment of the impact of CSFB larval pressures on crop yield and also provide supplementary information on the insecticides used for control. Comparison of the crop yield in 2014 with the average yield over a number of years will help to indicate whether the restriction on neonicotinoid use has affected crop productivity. If leaf scarring is always associated with larval invasion follow-up work could investigate how an assessment of leaf scarring could be used as a simple method of assessing CSFB larval pressure. View printer friendly versions of these publications"	"146"	""	"-1"	"-1"	"ADAS"
"214-0019"	"Investigating pyrethroid resistance in UK cabbage stem flea beetle populations and developing a PCR-based assay for detecting turnip yellows virus in aphids"	"http://cereals.ahdb.org.uk/publications/2014/july/08/investigating-pyrethroid-resistance-in-uk-cabbage-stem-flea-beetle-populations-and-developing-a-pcr-based-assay-for-detecting-turnip-yellows-virus-in-aphids.aspx"	"2014"	"2014"	"The challenge Cabbage stem flea beetle (CSFB) is a major pest of winter oilseed rape (OSR) and, up until December 2013, seeds could be protected by neonicotinoid seed treatments. However, an EU imposed restriction has left growers with only one alternative of applying a pyrethroid spray. Knock-down resistance (kdr) to pyrethroids in CSFB has been confirmed in Germany and there are growing numbers of reports from UK OSR growers that pyrethroids are failing against CSFB, suggesting that resistance is now present in this country. The transmission of turnip yellows virus (TuYV) by Myzus persicae is also a major concern for OSR growers in respect of the neonicotinoid seed treatment ban. It is already estimated that 60% of UK OSR is affected by TuYV, with average yield losses in untreated crops of 15%. The loss of neonicotinoid seed treatment, combined with existing strong resistance to alternative compounds (pyrethroids and pirimicarb), will undoubtedly result in a significantly increased threat of TuYV transmission for OSR in 2014. The project The first aim of the project is to determine whether the kdr mutation conferring resistance to pyrethroids is present in UK CSFB populations and (assuming it is) to assess the approximate level of resistance it confers (using bioassays) and to obtain an estimate of mutation frequency in selected samples. The second aim is to develop a PCR-based diagnostic assay for detecting TuYV in individual M. persicae samples that will enable aphids to be tested for virus transmission potential alongside known insecticide resistance mechanisms (for which PCR assays are already available). The benefits Recent reports of poor control of CSFB with pyrethroids need to be investigated so that growers can be alerted if resistance has developed and is causing the problems. This project will establish whether the same mutation is also present in UK CSFB and will develop an assay for rapid monitoring of population for the future. Similarly, the second part of the project will aim to develop a rapid screening method for detecting TuYV in M. persicae samples. This assay will run alongside existing methods for detecting resistance mutations and will provide a more complete analysis of resistance status and the virus transmission potential of individual aphids in trap and field-caught samples. View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"Rothamsted Research"
